[2025-03-20_15:49:52] Total Functions: 2150, Hited Functions: 175 [ 8.139535% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:50:53] Total Functions: 2157, Hited Functions: 371 [ 17.199815% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:51:54] Total Functions: 2157, Hited Functions: 375 [ 17.385257% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:52:55] Total Functions: 2157, Hited Functions: 375 [ 17.385257% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:53:56] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:54:57] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:55:58] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:56:59] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:58:00] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_15:59:01] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:00:02] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:01:03] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:02:04] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:03:05] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:04:06] Total Functions: 2157, Hited Functions: 377 [ 17.477979% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:05:07] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:06:08] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:07:09] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:08:10] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:09:11] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:10:12] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:11:13] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:12:14] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:13:15] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:14:16] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:15:17] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:16:18] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:17:19] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:18:20] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:19:21] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:20:22] Total Functions: 2157, Hited Functions: 378 [ 17.524339% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:21:23] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:22:24] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:23:25] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:24:26] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:25:27] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:26:28] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:27:29] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:28:30] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:29:31] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:30:32] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:31:33] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:32:34] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:33:35] Total Functions: 2159, Hited Functions: 380 [ 17.600741% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:34:36] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:35:37] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:36:38] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:37:39] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:38:40] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:39:41] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:40:42] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:41:43] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:42:44] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:43:45] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:44:46] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:45:47] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:46:48] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:47:49] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:48:50] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:49:51] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:50:52] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:51:53] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:52:54] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:53:55] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:54:56] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:55:57] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:56:58] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:57:59] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_16:59:00] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-20_17:00:01] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
