real_map_size: 15695
loging--time, explored-paths, covered-blocks, crashes
[03-20 15:50], 118           , 1895          , 31
[03-20 16:20], 979           , 2215          , 578
[03-20 16:50], 1169          , 2256          , 1103
[03-20 17:20], 1320          , 2293          , 1950
[03-20 17:50], 1394          , 2305          , 2834
[03-20 18:20], 1447          , 2307          , 3691
[03-20 18:50], 1501          , 2316          , 4611
[03-20 19:20], 1544          , 2323          , 5472
[03-20 19:50], 1630          , 2347          , 6240
[03-20 20:20], 1709          , 2361          , 6857
[03-20 20:50], 1748          , 2368          , 7642
[03-20 21:20], 1811          , 2376          , 8445
[03-20 21:50], 1845          , 2414          , 9288
[03-20 22:20], 1860          , 2415          , 10177
[03-20 22:50], 1890          , 2415          , 11127
[03-20 23:20], 1918          , 2684          , 11919
[03-20 23:50], 1951          , 2684          , 12699
[03-21 00:20], 1993          , 2684          , 13218
[03-21 00:50], 2005          , 2685          , 13994
[03-21 01:20], 2020          , 2685          , 14875
[03-21 01:50], 2033          , 2685          , 15598
[03-21 02:20], 2079          , 2745          , 16485
[03-21 02:50], 2100          , 2745          , 17310
[03-21 03:20], 2113          , 2746          , 18115
[03-21 03:50], 2137          , 2752          , 18943
[03-21 04:20], 2150          , 2753          , 19667
[03-21 04:50], 2161          , 2755          , 20590
[03-21 05:20], 2176          , 2755          , 21402
[03-21 05:50], 2196          , 2755          , 22179
[03-21 06:20], 2206          , 2766          , 23089
[03-21 06:50], 2212          , 2767          , 23960
[03-21 07:20], 2230          , 2776          , 24815
[03-21 07:50], 2243          , 2778          , 25450
[03-21 08:20], 2254          , 2780          , 26294
[03-21 08:50], 2273          , 2781          , 27059
[03-21 09:20], 2278          , 2781          , 27664
[03-21 09:50], 2282          , 2781          , 28588
[03-21 10:20], 2285          , 2781          , 29483
[03-21 10:50], 2293          , 2781          , 30257
[03-21 11:20], 2297          , 2782          , 31038
[03-21 11:50], 2301          , 2782          , 31834
[03-21 12:20], 2308          , 2782          , 32612
[03-21 12:50], 2312          , 2783          , 33349
[03-21 13:20], 2324          , 2784          , 34207
[03-21 13:50], 2332          , 2784          , 35052
[03-21 14:20], 2341          , 2786          , 35897
[03-21 14:50], 2347          , 2786          , 36757
[03-21 15:20], 2360          , 2787          , 37618
