real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[03-21 15:50], 139           , 537           , 0
[03-21 16:20], 1515          , 2389          , 0
[03-21 16:50], 1952          , 2777          , 0
[03-21 17:20], 2166          , 2974          , 0
[03-21 17:50], 2423          , 3086          , 0
[03-21 18:20], 2818          , 3352          , 0
[03-21 18:50], 3091          , 3419          , 0
[03-21 19:20], 3346          , 3504          , 0
[03-21 19:50], 3594          , 3663          , 0
[03-21 20:20], 3783          , 3732          , 0
[03-21 20:50], 3967          , 3768          , 0
[03-21 21:20], 4101          , 3815          , 0
[03-21 21:50], 4225          , 3827          , 0
[03-21 22:20], 4443          , 4181          , 0
[03-21 22:50], 4731          , 4413          , 0
[03-21 23:20], 4874          , 4530          , 0
[03-21 23:50], 5028          , 4625          , 0
[03-22 00:20], 5228          , 4887          , 0
[03-22 00:50], 5384          , 4953          , 0
[03-22 01:20], 5461          , 4973          , 0
[03-22 01:50], 5657          , 5158          , 0
[03-22 02:20], 5873          , 5390          , 0
[03-22 02:50], 5941          , 5398          , 0
[03-22 03:20], 6001          , 5422          , 0
[03-22 03:50], 6064          , 5445          , 0
[03-22 04:20], 6124          , 5470          , 0
[03-22 04:50], 6166          , 5497          , 0
[03-22 05:20], 6249          , 5580          , 0
[03-22 05:50], 6320          , 5625          , 0
[03-22 06:20], 6370          , 5642          , 0
[03-22 06:50], 6410          , 5654          , 0
[03-22 07:20], 6512          , 5724          , 0
[03-22 07:50], 6612          , 5861          , 0
[03-22 08:20], 6675          , 5880          , 0
[03-22 08:50], 6713          , 5886          , 0
[03-22 09:20], 6749          , 5893          , 0
[03-22 09:50], 6785          , 5899          , 0
[03-22 10:20], 6824          , 5908          , 0
[03-22 10:50], 6867          , 5910          , 0
[03-22 11:20], 6897          , 5923          , 0
[03-22 11:50], 6945          , 5939          , 0
[03-22 12:20], 6973          , 5943          , 0
[03-22 12:50], 6995          , 5949          , 0
[03-22 13:20], 7036          , 5955          , 0
[03-22 13:50], 7081          , 5967          , 0
[03-22 14:20], 7114          , 5972          , 0
[03-22 14:50], 7143          , 5977          , 0
[03-22 15:20], 7180          , 5988          , 0
