real_map_size: 46243
loging--time, explored-paths, covered-blocks, crashes
[03-21 15:51], 8             , 5229          , 0
[03-21 16:21], 8             , 5229          , 0
[03-21 16:51], 8             , 5229          , 0
[03-21 17:21], 8             , 5229          , 0
[03-21 17:51], 8             , 5229          , 0
[03-21 18:21], 8             , 5229          , 0
[03-21 18:51], 8             , 5229          , 0
[03-21 19:21], 8             , 5229          , 0
[03-21 19:51], 8             , 5229          , 0
[03-21 20:21], 8             , 5229          , 0
[03-21 20:51], 8             , 5229          , 0
[03-21 21:21], 8             , 5229          , 0
[03-21 21:51], 8             , 5229          , 0
[03-21 22:21], 8             , 5229          , 0
[03-21 22:51], 8             , 5229          , 0
[03-21 23:21], 8             , 5229          , 0
[03-21 23:51], 8             , 5229          , 0
[03-22 00:21], 8             , 5229          , 0
[03-22 00:51], 8             , 5229          , 0
[03-22 01:21], 8             , 5229          , 0
[03-22 01:51], 8             , 5229          , 0
[03-22 02:21], 8             , 5229          , 0
[03-22 02:51], 8             , 5229          , 0
[03-22 03:21], 8             , 5229          , 0
[03-22 03:51], 8             , 5229          , 0
[03-22 04:21], 8             , 5229          , 0
[03-22 04:51], 8             , 5229          , 0
[03-22 05:21], 8             , 5229          , 0
[03-22 05:51], 8             , 5229          , 0
[03-22 06:21], 8             , 5229          , 0
[03-22 06:51], 8             , 5229          , 0
[03-22 07:21], 8             , 5229          , 0
[03-22 07:51], 8             , 5229          , 0
[03-22 08:21], 8             , 5229          , 0
[03-22 08:51], 8             , 5229          , 0
[03-22 09:21], 8             , 5229          , 0
[03-22 09:51], 8             , 5229          , 0
[03-22 10:21], 8             , 5229          , 0
[03-22 10:51], 8             , 5229          , 0
[03-22 11:21], 8             , 5229          , 0
[03-22 11:51], 8             , 5229          , 0
[03-22 12:21], 8             , 5229          , 0
[03-22 12:51], 8             , 5229          , 0
[03-22 13:21], 8             , 5229          , 0
[03-22 13:51], 8             , 5229          , 0
[03-22 14:21], 8             , 5229          , 0
[03-22 14:51], 8             , 5229          , 0
[03-22 15:21], 8             , 5229          , 0
