[2025-03-22_15:50:26] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:51:27] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:52:28] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:53:29] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:54:30] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:55:31] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:56:32] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:57:33] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:58:34] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_15:59:35] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:00:36] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:01:37] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:02:38] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:03:39] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:04:40] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:05:41] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:06:42] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:07:43] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:08:44] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:09:45] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
[2025-03-22_16:10:46] Total Functions: 194, Hited Functions: 12 [ 6.185567% ], Hited Edges: 0, Total Edges: 409
