real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[03-21 15:50], 239           , 1301          , 0
[03-21 16:20], 1050          , 1499          , 0
[03-21 16:50], 1269          , 1533          , 0
[03-21 17:20], 1368          , 1538          , 0
[03-21 17:50], 1426          , 1539          , 0
[03-21 18:20], 1458          , 1547          , 0
[03-21 18:50], 1485          , 1548          , 0
[03-21 19:20], 1531          , 1555          , 0
[03-21 19:50], 1555          , 1555          , 0
[03-21 20:20], 1573          , 1555          , 0
[03-21 20:50], 1584          , 1556          , 0
[03-21 21:20], 1601          , 1560          , 0
[03-21 21:50], 1637          , 1567          , 0
[03-21 22:20], 1688          , 1570          , 0
[03-21 22:50], 1731          , 1576          , 0
[03-21 23:20], 1750          , 1576          , 0
[03-21 23:50], 1773          , 1579          , 0
[03-22 00:20], 1793          , 1580          , 0
[03-22 00:50], 1829          , 1582          , 0
[03-22 01:20], 1860          , 1582          , 0
[03-22 01:50], 1870          , 1582          , 0
[03-22 02:20], 1887          , 1584          , 0
[03-22 02:50], 1895          , 1584          , 0
[03-22 03:20], 1902          , 1584          , 0
[03-22 03:50], 1932          , 1586          , 0
[03-22 04:20], 1941          , 1586          , 0
[03-22 04:50], 1955          , 1586          , 0
[03-22 05:20], 1965          , 1586          , 0
[03-22 05:50], 1980          , 1587          , 0
[03-22 06:20], 2008          , 1587          , 0
[03-22 06:50], 2016          , 1587          , 0
[03-22 07:20], 2028          , 1588          , 0
[03-22 07:50], 2038          , 1590          , 0
[03-22 08:20], 2041          , 1590          , 0
[03-22 08:50], 2047          , 1591          , 0
[03-22 09:20], 2053          , 1591          , 0
[03-22 09:50], 2057          , 1591          , 0
[03-22 10:20], 2063          , 1591          , 0
[03-22 10:50], 2069          , 1591          , 0
[03-22 11:20], 2070          , 1591          , 0
[03-22 11:50], 2074          , 1591          , 0
[03-22 12:20], 2077          , 1591          , 0
[03-22 12:50], 2078          , 1591          , 0
[03-22 13:20], 2081          , 1591          , 0
[03-22 13:50], 2083          , 1591          , 0
[03-22 14:20], 2084          , 1591          , 0
[03-22 14:50], 2088          , 1591          , 0
[03-22 15:20], 2091          , 1591          , 0
