[2025-02-12_16:52:49] Total Functions: 780, Hited Functions: 261 [ 33.461538% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:53:50] Total Functions: 1018, Hited Functions: 546 [ 53.634578% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:54:51] Total Functions: 1052, Hited Functions: 580 [ 55.133080% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:55:52] Total Functions: 1059, Hited Functions: 587 [ 55.429651% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:56:53] Total Functions: 1059, Hited Functions: 587 [ 55.429651% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:57:54] Total Functions: 1059, Hited Functions: 587 [ 55.429651% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:58:55] Total Functions: 1067, Hited Functions: 595 [ 55.763824% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_16:59:56] Total Functions: 1073, Hited Functions: 601 [ 56.011184% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:00:57] Total Functions: 1079, Hited Functions: 607 [ 56.255792% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:01:58] Total Functions: 1084, Hited Functions: 612 [ 56.457565% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:02:59] Total Functions: 1085, Hited Functions: 613 [ 56.497696% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:04:00] Total Functions: 1085, Hited Functions: 613 [ 56.497696% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:05:01] Total Functions: 1086, Hited Functions: 614 [ 56.537753% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:06:02] Total Functions: 1086, Hited Functions: 614 [ 56.537753% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:07:03] Total Functions: 1088, Hited Functions: 616 [ 56.617647% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:08:04] Total Functions: 1089, Hited Functions: 617 [ 56.657484% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:09:05] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:10:06] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:11:07] Total Functions: 1093, Hited Functions: 621 [ 56.816102% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:12:08] Total Functions: 1094, Hited Functions: 622 [ 56.855576% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:13:09] Total Functions: 1094, Hited Functions: 622 [ 56.855576% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:14:10] Total Functions: 1094, Hited Functions: 622 [ 56.855576% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:15:11] Total Functions: 1096, Hited Functions: 624 [ 56.934307% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:16:12] Total Functions: 1096, Hited Functions: 624 [ 56.934307% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:17:13] Total Functions: 1118, Hited Functions: 648 [ 57.960644% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:18:14] Total Functions: 1121, Hited Functions: 651 [ 58.073149% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:19:15] Total Functions: 1121, Hited Functions: 651 [ 58.073149% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:20:16] Total Functions: 1124, Hited Functions: 654 [ 58.185053% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:21:17] Total Functions: 1131, Hited Functions: 661 [ 58.443855% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:22:18] Total Functions: 1136, Hited Functions: 666 [ 58.626761% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:23:19] Total Functions: 1138, Hited Functions: 668 [ 58.699473% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:24:20] Total Functions: 1139, Hited Functions: 669 [ 58.735733% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:25:21] Total Functions: 1142, Hited Functions: 672 [ 58.844133% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:26:22] Total Functions: 1144, Hited Functions: 674 [ 58.916084% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:27:23] Total Functions: 1155, Hited Functions: 685 [ 59.307359% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:28:24] Total Functions: 1157, Hited Functions: 687 [ 59.377701% ], Hited Edges: 0, Total Edges: 2056
[2025-02-12_17:29:25] Total Functions: 1157, Hited Functions: 687 [ 59.377701% ], Hited Edges: 0, Total Edges: 2056
