real_map_size: 81418
loging--time, explored-paths, covered-blocks, crashes
[02-12 16:53], 47            , 2439          , 0
[02-12 17:23], 715           , 3540          , 0
[02-12 17:53], 958           , 3689          , 0
[02-12 18:23], 1258          , 4172          , 0
[02-12 18:53], 1585          , 4245          , 0
[02-12 19:23], 1718          , 4252          , 0
[02-12 19:53], 1807          , 4254          , 0
[02-12 20:23], 1877          , 4260          , 0
[02-12 20:53], 1923          , 4262          , 0
[02-12 21:23], 1972          , 4264          , 0
[02-12 21:53], 2012          , 4264          , 0
[02-12 22:23], 2059          , 4268          , 0
[02-12 22:53], 2081          , 4274          , 0
[02-12 23:23], 2132          , 4280          , 0
[02-12 23:53], 2157          , 4288          , 0
[02-13 00:23], 2244          , 4367          , 0
[02-13 00:53], 2347          , 4401          , 0
[02-13 01:23], 2387          , 4416          , 0
[02-13 01:53], 2428          , 4421          , 0
[02-13 02:23], 2460          , 4477          , 0
[02-13 02:53], 2497          , 4543          , 0
[02-13 03:23], 2509          , 4543          , 0
[02-13 03:53], 2558          , 4551          , 0
[02-13 04:23], 2584          , 4552          , 0
[02-13 04:53], 2604          , 4552          , 0
[02-13 05:23], 2621          , 4552          , 0
[02-13 05:53], 2648          , 4556          , 0
[02-13 06:23], 2661          , 4556          , 0
[02-13 06:53], 2670          , 4556          , 0
[02-13 07:23], 2676          , 4556          , 0
[02-13 07:53], 2686          , 4556          , 0
[02-13 08:23], 2687          , 4559          , 0
[02-13 08:53], 2694          , 4559          , 0
[02-13 09:23], 2707          , 4561          , 0
[02-13 09:53], 2715          , 4561          , 0
[02-13 10:23], 2737          , 4562          , 0
[02-13 10:53], 2740          , 4562          , 0
[02-13 11:23], 2746          , 4564          , 0
[02-13 11:53], 2756          , 4564          , 0
[02-13 12:23], 2763          , 4564          , 0
[02-13 12:53], 2765          , 4564          , 0
[02-13 13:23], 2775          , 4605          , 0
[02-13 13:53], 2781          , 4607          , 0
[02-13 14:23], 2791          , 4621          , 0
[02-13 14:53], 2798          , 4621          , 0
[02-13 15:23], 2806          , 4622          , 0
[02-13 15:53], 2811          , 4623          , 0
[02-13 16:23], 2827          , 4652          , 0
