[2025-02-15_16:53:01] Total Functions: 43, Hited Functions: 21 [ 48.837209% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_16:54:02] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_16:55:03] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_16:56:04] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_16:57:05] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_16:58:06] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_16:59:07] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:00:08] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:01:09] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:02:10] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:03:11] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:04:12] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:05:13] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:06:14] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:07:15] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:08:16] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:09:17] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:10:18] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:11:19] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:12:20] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:13:21] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:14:22] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:15:23] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:16:24] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:17:25] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:18:26] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:19:27] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:20:28] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:21:29] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:22:30] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:23:31] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:24:32] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:25:33] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:26:34] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:27:35] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:28:36] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
[2025-02-15_17:29:37] Total Functions: 43, Hited Functions: 23 [ 53.488372% ], Hited Edges: 0, Total Edges: 70
