real_map_size: 1389
loging--time, explored-paths, covered-blocks, crashes
[02-15 16:53], 91            , 411           , 0
[02-15 17:23], 875           , 539           , 0
[02-15 17:53], 1035          , 548           , 0
[02-15 18:23], 1169          , 585           , 0
[02-15 18:53], 1179          , 585           , 0
[02-15 19:23], 1205          , 587           , 0
[02-15 19:53], 1218          , 588           , 0
[02-15 20:23], 1224          , 588           , 0
[02-15 20:53], 1237          , 589           , 0
[02-15 21:23], 1244          , 589           , 0
[02-15 21:53], 1253          , 589           , 0
[02-15 22:23], 1259          , 590           , 0
[02-15 22:53], 1262          , 590           , 0
[02-15 23:23], 1266          , 590           , 0
[02-15 23:53], 1272          , 590           , 0
[02-16 00:23], 1274          , 591           , 0
[02-16 00:53], 1277          , 591           , 0
[02-16 01:23], 1280          , 591           , 0
[02-16 01:53], 1281          , 592           , 0
[02-16 02:23], 1283          , 592           , 0
[02-16 02:53], 1286          , 592           , 0
[02-16 03:23], 1288          , 593           , 0
[02-16 03:53], 1293          , 594           , 0
[02-16 04:23], 1298          , 594           , 0
[02-16 04:53], 1304          , 594           , 0
[02-16 05:23], 1308          , 594           , 0
[02-16 05:53], 1308          , 594           , 0
[02-16 06:23], 1313          , 595           , 0
[02-16 06:53], 1315          , 595           , 0
[02-16 07:23], 1322          , 596           , 0
[02-16 07:53], 1326          , 596           , 0
[02-16 08:23], 1332          , 597           , 0
[02-16 08:53], 1336          , 598           , 0
[02-16 09:23], 1343          , 599           , 0
[02-16 09:53], 1348          , 600           , 0
[02-16 10:23], 1352          , 600           , 0
[02-16 10:53], 1354          , 600           , 0
[02-16 11:23], 1357          , 600           , 0
[02-16 11:53], 1357          , 600           , 0
[02-16 12:23], 1359          , 600           , 0
[02-16 12:53], 1363          , 600           , 0
[02-16 13:23], 1365          , 600           , 0
[02-16 13:53], 1367          , 600           , 0
[02-16 14:23], 1373          , 601           , 0
[02-16 14:53], 1385          , 602           , 0
[02-16 15:23], 1386          , 602           , 0
[02-16 15:53], 1387          , 602           , 0
[02-16 16:23], 1388          , 602           , 0
