real_map_size: 13621
loging--time, explored-paths, covered-blocks, crashes
[02-14 16:53], 10            , 292           , 0
[02-14 17:23], 10            , 292           , 0
[02-14 17:53], 10            , 292           , 0
[02-14 18:23], 10            , 292           , 0
[02-14 18:53], 10            , 292           , 0
[02-14 19:23], 10            , 292           , 0
[02-14 19:53], 10            , 292           , 0
[02-14 20:23], 10            , 292           , 0
[02-14 20:53], 10            , 292           , 0
[02-14 21:23], 10            , 292           , 0
[02-14 21:53], 10            , 292           , 0
[02-14 22:23], 10            , 292           , 0
[02-14 22:53], 10            , 292           , 0
[02-14 23:23], 10            , 292           , 0
[02-14 23:53], 10            , 292           , 0
[02-15 00:23], 10            , 292           , 0
[02-15 00:53], 10            , 292           , 0
[02-15 01:23], 10            , 292           , 0
[02-15 01:53], 10            , 292           , 0
[02-15 02:23], 10            , 292           , 0
[02-15 02:53], 10            , 292           , 0
[02-15 03:23], 10            , 292           , 0
[02-15 03:53], 10            , 292           , 0
[02-15 04:23], 10            , 292           , 0
[02-15 04:53], 10            , 292           , 0
[02-15 05:23], 10            , 292           , 0
[02-15 05:53], 10            , 292           , 0
[02-15 06:23], 10            , 292           , 0
[02-15 06:53], 10            , 292           , 0
[02-15 07:23], 10            , 292           , 0
[02-15 07:53], 10            , 292           , 0
[02-15 08:23], 10            , 292           , 0
[02-15 08:53], 10            , 292           , 0
[02-15 09:23], 10            , 292           , 0
[02-15 09:53], 10            , 292           , 0
[02-15 10:23], 10            , 292           , 0
[02-15 10:53], 10            , 292           , 0
[02-15 11:23], 10            , 292           , 0
[02-15 11:53], 10            , 292           , 0
[02-15 12:23], 10            , 292           , 0
[02-15 12:53], 10            , 292           , 0
[02-15 13:23], 10            , 292           , 0
[02-15 13:53], 10            , 292           , 0
[02-15 14:23], 10            , 292           , 0
[02-15 14:53], 10            , 292           , 0
[02-15 15:23], 10            , 292           , 0
[02-15 15:53], 10            , 292           , 0
[02-15 16:23], 10            , 292           , 0
