[2025-02-12_16:52:31] Total Functions: 471, Hited Functions: 65 [ 13.800425% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:53:32] Total Functions: 476, Hited Functions: 100 [ 21.008403% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:54:33] Total Functions: 476, Hited Functions: 100 [ 21.008403% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:55:36] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:56:37] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:57:41] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:58:43] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_16:59:44] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:00:47] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:01:48] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:02:49] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:03:50] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:04:51] Total Functions: 476, Hited Functions: 101 [ 21.218487% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:05:52] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:06:53] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:07:54] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:08:55] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:09:56] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:10:57] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:11:58] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:12:59] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:14:02] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:15:04] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:16:05] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:17:06] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:18:07] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:19:10] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:20:13] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:21:14] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:22:16] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:23:17] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:24:18] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:25:19] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:26:20] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:27:21] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:28:22] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:29:23] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:30:24] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:31:25] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:32:26] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:33:27] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:34:29] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:35:31] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:36:32] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:37:33] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:38:34] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:39:36] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:40:37] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:41:38] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:42:39] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:43:40] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:44:41] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:45:42] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:46:43] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:47:44] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:48:45] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:49:46] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:50:47] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:51:48] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
[2025-02-12_17:52:49] Total Functions: 476, Hited Functions: 105 [ 22.058824% ], Hited Edges: 0, Total Edges: 1156
