real_map_size: 7023
loging--time, explored-paths, covered-blocks, crashes
[02-12 16:52], 150           , 435           , 0
[02-12 17:22], 299           , 478           , 0
[02-12 17:52], 317           , 479           , 0
[02-12 18:22], 335           , 479           , 0
[02-12 18:52], 347           , 479           , 0
[02-12 19:22], 364           , 479           , 0
[02-12 19:52], 372           , 479           , 0
[02-12 20:22], 397           , 490           , 0
[02-12 20:52], 404           , 490           , 0
[02-12 21:22], 408           , 490           , 0
[02-12 21:52], 412           , 490           , 0
[02-12 22:22], 417           , 490           , 0
[02-12 22:52], 428           , 491           , 0
[02-12 23:22], 433           , 491           , 0
[02-12 23:52], 439           , 491           , 0
[02-13 00:22], 444           , 491           , 0
[02-13 00:52], 447           , 491           , 0
[02-13 01:22], 449           , 491           , 0
[02-13 01:52], 452           , 491           , 0
[02-13 02:22], 455           , 491           , 0
[02-13 02:52], 457           , 491           , 0
[02-13 03:22], 461           , 491           , 0
[02-13 03:52], 466           , 491           , 0
[02-13 04:22], 468           , 491           , 0
[02-13 04:52], 473           , 491           , 0
[02-13 05:22], 477           , 491           , 0
[02-13 05:52], 478           , 491           , 0
[02-13 06:22], 482           , 491           , 0
[02-13 06:52], 484           , 491           , 0
[02-13 07:22], 486           , 491           , 0
[02-13 07:52], 486           , 491           , 0
[02-13 08:22], 488           , 491           , 0
[02-13 08:52], 490           , 491           , 0
[02-13 09:22], 490           , 491           , 0
[02-13 09:52], 491           , 491           , 0
[02-13 10:22], 492           , 491           , 0
[02-13 10:52], 493           , 491           , 0
[02-13 11:22], 495           , 491           , 0
[02-13 11:52], 495           , 491           , 0
[02-13 12:22], 497           , 491           , 0
[02-13 12:52], 498           , 491           , 0
[02-13 13:22], 498           , 491           , 0
[02-13 13:52], 500           , 491           , 0
[02-13 14:22], 500           , 491           , 0
[02-13 14:52], 500           , 491           , 0
[02-13 15:22], 500           , 491           , 0
[02-13 15:52], 500           , 491           , 0
[02-13 16:22], 500           , 491           , 0
