real_map_size: 2489
loging--time, explored-paths, covered-blocks, crashes
[02-14 16:53], 32            , 360           , 0
[02-14 17:23], 412           , 775           , 0
[02-14 17:53], 544           , 794           , 0
[02-14 18:23], 621           , 802           , 0
[02-14 18:53], 655           , 802           , 0
[02-14 19:23], 678           , 802           , 0
[02-14 19:53], 698           , 802           , 0
[02-14 20:23], 707           , 802           , 0
[02-14 20:53], 713           , 802           , 0
[02-14 21:23], 724           , 802           , 0
[02-14 21:53], 732           , 802           , 0
[02-14 22:23], 740           , 802           , 0
[02-14 22:53], 746           , 802           , 0
[02-14 23:23], 751           , 802           , 0
[02-14 23:53], 755           , 802           , 0
[02-15 00:23], 764           , 802           , 0
[02-15 00:53], 797           , 824           , 0
[02-15 01:23], 804           , 825           , 0
[02-15 01:53], 829           , 833           , 0
[02-15 02:23], 836           , 833           , 0
[02-15 02:53], 844           , 836           , 0
[02-15 03:23], 845           , 836           , 0
[02-15 03:53], 848           , 836           , 0
[02-15 04:23], 850           , 836           , 0
[02-15 04:53], 852           , 836           , 0
[02-15 05:23], 854           , 836           , 0
[02-15 05:53], 857           , 836           , 0
[02-15 06:23], 860           , 836           , 0
[02-15 06:53], 863           , 836           , 0
[02-15 07:23], 866           , 836           , 0
[02-15 07:53], 868           , 836           , 0
[02-15 08:23], 873           , 836           , 0
[02-15 08:53], 873           , 836           , 0
[02-15 09:23], 874           , 836           , 0
[02-15 09:53], 874           , 836           , 0
[02-15 10:23], 876           , 836           , 0
[02-15 10:53], 876           , 836           , 0
[02-15 11:23], 876           , 836           , 0
[02-15 11:53], 878           , 836           , 0
[02-15 12:23], 879           , 836           , 0
[02-15 12:53], 880           , 836           , 0
[02-15 13:23], 881           , 836           , 0
[02-15 13:53], 885           , 836           , 0
[02-15 14:23], 885           , 836           , 0
[02-15 14:53], 886           , 836           , 0
[02-15 15:23], 886           , 836           , 0
[02-15 15:53], 886           , 836           , 0
[02-15 16:23], 886           , 836           , 0
