[2025-02-12_16:52:29] Total Functions: 2325, Hited Functions: 165 [ 7.096774% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:53:30] Total Functions: 2325, Hited Functions: 325 [ 13.978495% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:54:31] Total Functions: 2325, Hited Functions: 326 [ 14.021505% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:55:32] Total Functions: 2325, Hited Functions: 339 [ 14.580645% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:56:33] Total Functions: 2325, Hited Functions: 340 [ 14.623656% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:57:34] Total Functions: 2325, Hited Functions: 340 [ 14.623656% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:58:35] Total Functions: 2325, Hited Functions: 340 [ 14.623656% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_16:59:36] Total Functions: 2325, Hited Functions: 340 [ 14.623656% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:00:37] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:01:38] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:02:39] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:03:40] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:04:41] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:05:42] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:06:43] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:07:44] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:08:45] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:09:46] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:10:47] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:11:48] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:12:49] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:13:50] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:14:51] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:15:52] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:16:53] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:17:54] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:18:55] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:19:56] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:20:57] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:21:58] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:22:59] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:24:00] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:25:01] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:26:02] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:27:03] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:28:04] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-02-12_17:29:05] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
