real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[02-12 16:52], 998           , 2856          , 0
[02-12 17:22], 4061          , 4031          , 0
[02-12 17:52], 5205          , 4121          , 0
[02-12 18:22], 5729          , 4148          , 0
[02-12 18:52], 6257          , 4193          , 0
[02-12 19:22], 6568          , 4203          , 0
[02-12 19:52], 6782          , 4219          , 0
[02-12 20:22], 6932          , 4226          , 0
[02-12 20:52], 7084          , 4241          , 0
[02-12 21:22], 7187          , 4242          , 0
[02-12 21:52], 7296          , 4244          , 0
[02-12 22:22], 7381          , 4246          , 0
[02-12 22:52], 7448          , 4254          , 0
[02-12 23:22], 7546          , 4255          , 0
[02-12 23:52], 7592          , 4256          , 0
[02-13 00:22], 7646          , 4258          , 0
[02-13 00:52], 7689          , 4262          , 0
[02-13 01:22], 7757          , 4264          , 0
[02-13 01:52], 7809          , 4266          , 0
[02-13 02:22], 7838          , 4268          , 0
[02-13 02:52], 7868          , 4268          , 0
[02-13 03:22], 7924          , 4268          , 0
[02-13 03:52], 8192          , 4513          , 0
[02-13 04:22], 8245          , 4522          , 0
[02-13 04:52], 8289          , 4528          , 0
[02-13 05:22], 8323          , 4537          , 0
[02-13 05:52], 8358          , 4538          , 0
[02-13 06:22], 8392          , 4539          , 0
[02-13 06:52], 8411          , 4540          , 0
[02-13 07:22], 8435          , 4541          , 0
[02-13 07:52], 8454          , 4541          , 0
[02-13 08:22], 8486          , 4543          , 0
[02-13 08:52], 8514          , 4545          , 0
[02-13 09:22], 8538          , 4547          , 0
[02-13 09:52], 8560          , 4552          , 0
[02-13 10:22], 8573          , 4555          , 0
[02-13 10:52], 8586          , 4556          , 0
[02-13 11:22], 8608          , 4558          , 0
[02-13 11:52], 8635          , 4558          , 0
[02-13 12:22], 8651          , 4562          , 0
[02-13 12:52], 8655          , 4562          , 0
[02-13 13:22], 8685          , 4585          , 0
[02-13 13:52], 8698          , 4587          , 0
[02-13 14:22], 8738          , 4598          , 0
[02-13 14:52], 8759          , 4599          , 0
[02-13 15:22], 8831          , 4629          , 0
[02-13 15:52], 8875          , 4636          , 0
[02-13 16:22], 8895          , 4639          , 0
