[2025-02-12_16:52:31] Total Functions: 83, Hited Functions: 21 [ 25.301205% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:53:32] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:54:33] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:55:36] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:56:37] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:57:41] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:58:43] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_16:59:44] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:00:46] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:01:47] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:02:48] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:03:49] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:04:50] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:05:51] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:06:52] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:07:53] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:08:54] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:09:56] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:10:57] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:11:59] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:13:01] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:14:02] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:15:04] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:16:05] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:17:06] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:18:07] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:19:09] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:20:10] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
[2025-02-12_17:21:11] Total Functions: 83, Hited Functions: 30 [ 36.144578% ], Hited Edges: 0, Total Edges: 120
