real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[02-12 16:52], 115           , 298           , 0
[02-12 17:22], 297           , 313           , 0
[02-12 17:52], 305           , 316           , 0
[02-12 18:22], 307           , 316           , 0
[02-12 18:52], 309           , 316           , 0
[02-12 19:22], 309           , 316           , 0
[02-12 19:52], 309           , 316           , 0
[02-12 20:22], 311           , 316           , 0
[02-12 20:52], 313           , 316           , 0
[02-12 21:22], 314           , 316           , 0
[02-12 21:52], 314           , 316           , 0
[02-12 22:22], 315           , 316           , 0
[02-12 22:52], 315           , 316           , 0
[02-12 23:22], 315           , 316           , 0
[02-12 23:52], 316           , 316           , 0
[02-13 00:22], 317           , 316           , 0
[02-13 00:52], 317           , 316           , 0
[02-13 01:22], 317           , 316           , 0
[02-13 01:52], 317           , 316           , 0
[02-13 02:22], 317           , 316           , 0
[02-13 02:52], 317           , 316           , 0
[02-13 03:22], 318           , 316           , 0
[02-13 03:52], 318           , 316           , 0
[02-13 04:22], 318           , 316           , 0
[02-13 04:52], 318           , 316           , 0
[02-13 05:22], 318           , 316           , 0
[02-13 05:52], 319           , 316           , 0
[02-13 06:22], 320           , 316           , 0
[02-13 06:52], 320           , 316           , 0
[02-13 07:22], 320           , 316           , 0
[02-13 07:52], 320           , 316           , 0
[02-13 08:22], 320           , 316           , 0
[02-13 08:52], 320           , 316           , 0
[02-13 09:22], 320           , 316           , 0
[02-13 09:52], 320           , 316           , 0
[02-13 10:22], 320           , 316           , 0
[02-13 10:52], 320           , 316           , 0
[02-13 11:22], 320           , 316           , 0
[02-13 11:52], 320           , 316           , 0
[02-13 12:22], 320           , 316           , 0
[02-13 12:52], 320           , 316           , 0
[02-13 13:22], 320           , 316           , 0
[02-13 13:52], 320           , 316           , 0
[02-13 14:22], 320           , 316           , 0
[02-13 14:52], 320           , 316           , 0
[02-13 15:22], 320           , 316           , 0
[02-13 15:52], 320           , 316           , 0
[02-13 16:22], 320           , 316           , 0
