real_map_size: 17572
loging--time, explored-paths, covered-blocks, crashes
[02-15 16:53], 13            , 385           , 0
[02-15 17:23], 13            , 385           , 0
[02-15 17:53], 13            , 385           , 0
[02-15 18:23], 13            , 385           , 0
[02-15 18:53], 13            , 385           , 0
[02-15 19:23], 13            , 385           , 0
[02-15 19:53], 13            , 385           , 0
[02-15 20:23], 13            , 385           , 0
[02-15 20:53], 13            , 385           , 0
[02-15 21:23], 13            , 385           , 0
[02-15 21:53], 13            , 385           , 0
[02-15 22:23], 13            , 385           , 0
[02-15 22:53], 13            , 385           , 0
[02-15 23:23], 13            , 385           , 0
[02-15 23:53], 13            , 385           , 0
[02-16 00:23], 13            , 385           , 0
[02-16 00:53], 13            , 385           , 0
[02-16 01:23], 13            , 385           , 0
[02-16 01:53], 13            , 385           , 0
[02-16 02:23], 13            , 385           , 0
[02-16 02:53], 13            , 385           , 0
[02-16 03:23], 13            , 385           , 0
[02-16 03:53], 13            , 385           , 0
[02-16 04:23], 13            , 385           , 0
[02-16 04:53], 13            , 385           , 0
[02-16 05:23], 13            , 385           , 0
[02-16 05:53], 13            , 385           , 0
[02-16 06:23], 13            , 385           , 0
[02-16 06:53], 13            , 385           , 0
[02-16 07:23], 13            , 385           , 0
[02-16 07:53], 13            , 385           , 0
[02-16 08:23], 13            , 385           , 0
[02-16 08:53], 13            , 385           , 0
[02-16 09:23], 13            , 385           , 0
[02-16 09:53], 13            , 385           , 0
[02-16 10:23], 13            , 385           , 0
[02-16 10:53], 13            , 385           , 0
[02-16 11:23], 13            , 385           , 0
[02-16 11:53], 13            , 385           , 0
[02-16 12:23], 13            , 385           , 0
[02-16 12:53], 13            , 385           , 0
[02-16 13:23], 13            , 385           , 0
[02-16 13:53], 13            , 385           , 0
[02-16 14:23], 13            , 385           , 0
[02-16 14:53], 13            , 385           , 0
[02-16 15:23], 13            , 385           , 0
[02-16 15:53], 13            , 385           , 0
[02-16 16:23], 13            , 385           , 0
