[2025-02-14_16:52:50] Total Functions: 1689, Hited Functions: 121 [ 7.164002% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:53:51] Total Functions: 1692, Hited Functions: 255 [ 15.070922% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:54:52] Total Functions: 1692, Hited Functions: 263 [ 15.543735% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:55:53] Total Functions: 1692, Hited Functions: 263 [ 15.543735% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:56:54] Total Functions: 1692, Hited Functions: 264 [ 15.602837% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:57:55] Total Functions: 1692, Hited Functions: 264 [ 15.602837% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:58:56] Total Functions: 1692, Hited Functions: 264 [ 15.602837% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_16:59:57] Total Functions: 1692, Hited Functions: 264 [ 15.602837% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:00:58] Total Functions: 1692, Hited Functions: 264 [ 15.602837% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:01:59] Total Functions: 1692, Hited Functions: 266 [ 15.721040% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:03:00] Total Functions: 1692, Hited Functions: 266 [ 15.721040% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:04:01] Total Functions: 1692, Hited Functions: 266 [ 15.721040% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:05:02] Total Functions: 1692, Hited Functions: 266 [ 15.721040% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:06:03] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:07:04] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:08:05] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:09:06] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:10:07] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:11:08] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:12:09] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:13:10] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:14:11] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:15:12] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:16:13] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:17:14] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:18:15] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:19:16] Total Functions: 1692, Hited Functions: 267 [ 15.780142% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:20:17] Total Functions: 1692, Hited Functions: 270 [ 15.957447% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:21:18] Total Functions: 1692, Hited Functions: 271 [ 16.016548% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:22:19] Total Functions: 1692, Hited Functions: 271 [ 16.016548% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:23:20] Total Functions: 1692, Hited Functions: 273 [ 16.134752% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:24:21] Total Functions: 1692, Hited Functions: 274 [ 16.193853% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:25:22] Total Functions: 1692, Hited Functions: 274 [ 16.193853% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:26:23] Total Functions: 1692, Hited Functions: 277 [ 16.371158% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:27:24] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:28:25] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:29:26] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:30:27] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:31:28] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:32:29] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:33:30] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:34:31] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:35:32] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:36:33] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:37:34] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:38:35] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:39:36] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:40:37] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:41:38] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:42:39] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:43:40] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:44:41] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:45:42] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:46:43] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:47:44] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:48:45] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:49:46] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:50:47] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:51:48] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:52:49] Total Functions: 1692, Hited Functions: 278 [ 16.430260% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:53:50] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:54:51] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:55:52] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:56:53] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:57:54] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:58:55] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_17:59:56] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:00:57] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:01:58] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:02:59] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:04:00] Total Functions: 1692, Hited Functions: 282 [ 16.666667% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:05:01] Total Functions: 1692, Hited Functions: 283 [ 16.725768% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:06:02] Total Functions: 1692, Hited Functions: 284 [ 16.784870% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:07:03] Total Functions: 1692, Hited Functions: 284 [ 16.784870% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:08:04] Total Functions: 1692, Hited Functions: 284 [ 16.784870% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:09:05] Total Functions: 1692, Hited Functions: 284 [ 16.784870% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:10:06] Total Functions: 1692, Hited Functions: 284 [ 16.784870% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:11:07] Total Functions: 1693, Hited Functions: 285 [ 16.834022% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:12:08] Total Functions: 1693, Hited Functions: 285 [ 16.834022% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:13:09] Total Functions: 1693, Hited Functions: 285 [ 16.834022% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:14:10] Total Functions: 1693, Hited Functions: 286 [ 16.893089% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:15:11] Total Functions: 1693, Hited Functions: 286 [ 16.893089% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:16:12] Total Functions: 1693, Hited Functions: 295 [ 17.424690% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:17:13] Total Functions: 1693, Hited Functions: 297 [ 17.542823% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:18:14] Total Functions: 1693, Hited Functions: 297 [ 17.542823% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:19:15] Total Functions: 1693, Hited Functions: 297 [ 17.542823% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:20:16] Total Functions: 1693, Hited Functions: 300 [ 17.720024% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:21:17] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:22:18] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:23:19] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:24:20] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:25:21] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:26:22] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:27:23] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:28:24] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:29:25] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:30:26] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:31:27] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:32:28] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:33:29] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:34:30] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:35:31] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:36:32] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:37:33] Total Functions: 1693, Hited Functions: 302 [ 17.838157% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:38:34] Total Functions: 1693, Hited Functions: 307 [ 18.133491% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:39:35] Total Functions: 1693, Hited Functions: 307 [ 18.133491% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:40:36] Total Functions: 1693, Hited Functions: 307 [ 18.133491% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:41:37] Total Functions: 1693, Hited Functions: 307 [ 18.133491% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:42:38] Total Functions: 1693, Hited Functions: 307 [ 18.133491% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:43:39] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:44:40] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:45:41] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:46:42] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:47:43] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:48:44] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:49:45] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:50:46] Total Functions: 1693, Hited Functions: 308 [ 18.192558% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:51:47] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:52:48] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:53:49] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:54:50] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:55:51] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:56:52] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:57:53] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:58:54] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_18:59:55] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_19:00:56] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_19:01:57] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_19:02:58] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
[2025-02-14_19:03:59] Total Functions: 1693, Hited Functions: 309 [ 18.251624% ], Hited Edges: 0, Total Edges: 6750
