real_map_size: 13436
loging--time, explored-paths, covered-blocks, crashes
[02-14 16:53], 324           , 3438          , 0
[02-14 17:23], 1787          , 4159          , 0
[02-14 17:53], 2249          , 4612          , 0
[02-14 18:23], 2958          , 5434          , 0
[02-14 18:53], 3886          , 6120          , 1
[02-14 19:23], 4149          , 6249          , 1
[02-14 19:53], 4381          , 6425          , 1
[02-14 20:23], 4542          , 6552          , 1
[02-14 20:53], 4630          , 6611          , 1
[02-14 21:23], 4697          , 6625          , 2
[02-14 21:53], 4788          , 6682          , 2
[02-14 22:23], 4869          , 6692          , 2
[02-14 22:53], 4978          , 6711          , 2
[02-14 23:23], 5033          , 6718          , 3
[02-14 23:53], 5127          , 6738          , 3
[02-15 00:23], 5183          , 6746          , 3
[02-15 00:53], 5237          , 6761          , 3
[02-15 01:23], 5491          , 6861          , 3
[02-15 01:53], 5694          , 6935          , 3
[02-15 02:23], 5966          , 6986          , 3
[02-15 02:53], 6053          , 7005          , 3
[02-15 03:23], 6147          , 7015          , 3
[02-15 03:53], 6223          , 7024          , 3
[02-15 04:23], 6261          , 7026          , 3
[02-15 04:53], 6290          , 7029          , 3
[02-15 05:23], 6320          , 7035          , 4
[02-15 05:53], 6328          , 7036          , 4
[02-15 06:23], 6343          , 7036          , 4
[02-15 06:53], 6351          , 7036          , 4
[02-15 07:23], 6353          , 7036          , 4
[02-15 07:53], 6362          , 7037          , 4
[02-15 08:23], 6363          , 7037          , 4
[02-15 08:53], 6372          , 7037          , 4
[02-15 09:23], 6376          , 7037          , 4
[02-15 09:53], 6386          , 7038          , 4
[02-15 10:23], 6389          , 7038          , 4
[02-15 10:53], 6392          , 7038          , 4
[02-15 11:23], 6406          , 7041          , 4
[02-15 11:53], 6416          , 7044          , 4
[02-15 12:23], 6423          , 7044          , 4
[02-15 12:53], 6426          , 7044          , 4
[02-15 13:23], 6433          , 7044          , 4
[02-15 13:53], 6437          , 7044          , 4
[02-15 14:23], 6438          , 7044          , 4
[02-15 14:53], 6445          , 7044          , 4
[02-15 15:23], 6454          , 7045          , 4
[02-15 15:53], 6468          , 7046          , 4
[02-15 16:23], 6526          , 7092          , 4
