[2025-02-13_16:52:50] Total Functions: 186, Hited Functions: 100 [ 53.763441% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:53:51] Total Functions: 337, Hited Functions: 292 [ 86.646884% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:54:52] Total Functions: 339, Hited Functions: 294 [ 86.725664% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:55:53] Total Functions: 340, Hited Functions: 295 [ 86.764706% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:56:55] Total Functions: 344, Hited Functions: 299 [ 86.918605% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:57:56] Total Functions: 346, Hited Functions: 301 [ 86.994220% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:58:57] Total Functions: 347, Hited Functions: 302 [ 87.031700% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_16:59:58] Total Functions: 353, Hited Functions: 308 [ 87.252125% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:00:59] Total Functions: 354, Hited Functions: 309 [ 87.288136% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:02:00] Total Functions: 357, Hited Functions: 312 [ 87.394958% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:03:01] Total Functions: 359, Hited Functions: 314 [ 87.465181% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:04:02] Total Functions: 362, Hited Functions: 317 [ 87.569061% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:05:03] Total Functions: 362, Hited Functions: 317 [ 87.569061% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:06:04] Total Functions: 362, Hited Functions: 317 [ 87.569061% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:07:05] Total Functions: 365, Hited Functions: 320 [ 87.671233% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:08:06] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:09:07] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:10:08] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:11:09] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:12:10] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:13:12] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
[2025-02-13_17:14:13] Total Functions: 368, Hited Functions: 324 [ 88.043478% ], Hited Edges: 0, Total Edges: 257
