real_map_size: 15927
loging--time, explored-paths, covered-blocks, crashes
[02-13 16:53], 353           , 2432          , 0
[02-13 17:23], 2725          , 3809          , 0
[02-13 17:53], 3397          , 4103          , 0
[02-13 18:23], 3651          , 4192          , 0
[02-13 18:53], 3962          , 4347          , 0
[02-13 19:23], 4146          , 4374          , 0
[02-13 19:53], 4332          , 4391          , 0
[02-13 20:23], 4447          , 4400          , 0
[02-13 20:53], 4582          , 4429          , 0
[02-13 21:23], 4656          , 4433          , 0
[02-13 21:53], 4783          , 4450          , 0
[02-13 22:23], 4866          , 4467          , 0
[02-13 22:53], 4941          , 4502          , 0
[02-13 23:23], 5150          , 4691          , 0
[02-13 23:53], 5248          , 4703          , 0
[02-14 00:23], 5326          , 4711          , 0
[02-14 00:53], 5385          , 4727          , 0
[02-14 01:23], 5432          , 4740          , 0
[02-14 01:53], 5504          , 4749          , 0
[02-14 02:23], 5576          , 4772          , 0
[02-14 02:53], 5637          , 4794          , 0
[02-14 03:23], 5689          , 4800          , 0
[02-14 03:53], 5724          , 4805          , 0
[02-14 04:23], 5744          , 4809          , 0
[02-14 04:53], 5767          , 4810          , 0
[02-14 05:23], 5786          , 4813          , 0
[02-14 05:53], 5808          , 4817          , 0
[02-14 06:23], 5830          , 4822          , 0
[02-14 06:53], 5850          , 4825          , 0
[02-14 07:23], 5867          , 4826          , 0
[02-14 07:53], 5890          , 4833          , 0
[02-14 08:23], 5916          , 4837          , 0
[02-14 08:53], 5931          , 4838          , 0
[02-14 09:23], 5960          , 4865          , 0
[02-14 09:53], 5972          , 4869          , 0
[02-14 10:23], 6011          , 4889          , 0
[02-14 10:53], 6046          , 4908          , 0
[02-14 11:23], 6134          , 4927          , 0
[02-14 11:53], 6181          , 4938          , 0
[02-14 12:23], 6203          , 4944          , 0
[02-14 12:53], 6214          , 4947          , 0
[02-14 13:23], 6229          , 4960          , 0
[02-14 13:53], 6258          , 4962          , 0
[02-14 14:23], 6280          , 4962          , 0
[02-14 14:53], 6295          , 4962          , 0
[02-14 15:23], 6303          , 4964          , 0
[02-14 15:53], 6335          , 5003          , 0
[02-14 16:23], 6368          , 5013          , 0
