[2025-02-13_16:52:50] Total Functions: 2746, Hited Functions: 44 [ 1.602331% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:53:51] Total Functions: 2757, Hited Functions: 275 [ 9.974610% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:54:52] Total Functions: 2757, Hited Functions: 276 [ 10.010881% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:55:53] Total Functions: 2757, Hited Functions: 277 [ 10.047153% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:56:54] Total Functions: 2757, Hited Functions: 281 [ 10.192238% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:57:55] Total Functions: 2757, Hited Functions: 282 [ 10.228509% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:58:56] Total Functions: 2757, Hited Functions: 283 [ 10.264781% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_16:59:57] Total Functions: 2757, Hited Functions: 286 [ 10.373594% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:00:58] Total Functions: 2757, Hited Functions: 288 [ 10.446137% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:01:59] Total Functions: 2757, Hited Functions: 291 [ 10.554951% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:03:00] Total Functions: 2757, Hited Functions: 293 [ 10.627494% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:04:01] Total Functions: 2757, Hited Functions: 294 [ 10.663765% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:05:02] Total Functions: 2757, Hited Functions: 294 [ 10.663765% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:06:03] Total Functions: 2757, Hited Functions: 294 [ 10.663765% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:07:04] Total Functions: 2757, Hited Functions: 295 [ 10.700036% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:08:05] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:09:06] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:10:07] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:11:08] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:12:09] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:13:12] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:14:13] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:15:14] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:16:15] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:17:16] Total Functions: 2757, Hited Functions: 299 [ 10.845122% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:18:17] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:19:18] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:20:19] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:21:21] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:22:22] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:23:23] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:24:24] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:25:25] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:26:26] Total Functions: 2757, Hited Functions: 301 [ 10.917664% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:27:27] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:28:28] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:29:29] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:30:30] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:31:31] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:32:32] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:33:33] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:34:34] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:35:35] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:36:36] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:37:37] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:38:38] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:39:39] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:40:40] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:41:44] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:42:49] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:43:50] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:44:51] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:45:56] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:46:57] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:47:58] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:48:59] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:50:00] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:51:01] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:52:02] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:53:03] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:54:04] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:55:05] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:56:06] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:57:07] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:58:08] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_17:59:09] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:00:16] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:01:17] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:02:20] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:03:23] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:04:24] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:05:25] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:06:26] Total Functions: 2757, Hited Functions: 303 [ 10.990207% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:07:27] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:08:30] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:09:31] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:10:32] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:11:35] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:12:36] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:13:37] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:14:38] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:15:39] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:16:40] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:17:41] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:18:42] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:19:43] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:20:45] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:21:46] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:22:47] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:23:48] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:24:49] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:25:52] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:26:53] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:27:54] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:28:56] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:29:57] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:30:58] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:31:59] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:33:01] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:34:02] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:35:03] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:36:04] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:37:05] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:38:06] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:39:07] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
[2025-02-13_18:40:08] Total Functions: 2757, Hited Functions: 304 [ 11.026478% ], Hited Edges: 0, Total Edges: 7149
