[2025-03-25_04:13:16] Total Functions: 117622, Hited Functions: 477 [ 0.405536% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:14:17] Total Functions: 120127, Hited Functions: 8951 [ 7.451281% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:15:18] Total Functions: 120127, Hited Functions: 8951 [ 7.451281% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:16:19] Total Functions: 120143, Hited Functions: 8987 [ 7.480253% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:17:20] Total Functions: 120153, Hited Functions: 9012 [ 7.500437% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:18:21] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:19:22] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:20:23] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:21:24] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:22:25] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:23:26] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:24:27] Total Functions: 120153, Hited Functions: 9067 [ 7.546212% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:25:28] Total Functions: 120155, Hited Functions: 9069 [ 7.547751% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:26:29] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:27:30] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:28:31] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:29:32] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:30:33] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:31:34] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:32:35] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:33:36] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:34:37] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:35:38] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:36:39] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:37:40] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:38:41] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:39:42] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:40:43] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:41:44] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:42:45] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:43:46] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:44:47] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:45:48] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:46:49] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:47:50] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:48:51] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:49:52] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:50:53] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:51:54] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:52:55] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:53:56] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:54:57] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:55:58] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:56:59] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:58:00] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_04:59:01] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:00:02] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:01:03] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:02:04] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:03:05] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:04:06] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:05:07] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:06:08] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:07:09] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:08:10] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:09:11] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:10:12] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:11:13] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:12:14] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:13:15] Total Functions: 120156, Hited Functions: 9070 [ 7.548520% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:14:16] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:15:17] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:16:18] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:17:19] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:18:20] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:19:21] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:20:22] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:21:23] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:22:24] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
[2025-03-25_05:23:25] Total Functions: 120156, Hited Functions: 9075 [ 7.552682% ], Hited Edges: 0, Total Edges: 362506
