real_map_size: 362927
loging--time, explored-paths, covered-blocks, crashes
[03-25 04:13], 29            , 12406         , 0
[03-25 04:43], 229           , 12786         , 0
[03-25 05:13], 337           , 12786         , 0
[03-25 05:43], 454           , 12786         , 0
[03-25 06:13], 605           , 12786         , 0
[03-25 06:43], 841           , 12786         , 0
[03-25 07:13], 917           , 12786         , 0
[03-25 07:43], 1018          , 12786         , 0
[03-25 08:13], 1264          , 12786         , 0
[03-25 08:43], 1421          , 12786         , 0
[03-25 09:13], 1421          , 12786         , 0
[03-25 09:43], 1421          , 12786         , 0
[03-25 10:13], 1821          , 12786         , 0
[03-25 10:43], 1821          , 12786         , 0
[03-25 11:13], 2135          , 12786         , 0
[03-25 11:43], 2274          , 12786         , 0
[03-25 12:13], 2274          , 12786         , 0
[03-25 12:43], 2493          , 12786         , 0
[03-25 13:13], 2756          , 12786         , 0
[03-25 13:43], 2886          , 12786         , 0
[03-25 14:13], 3041          , 12786         , 0
[03-25 14:43], 3145          , 12786         , 0
[03-25 15:13], 3260          , 12786         , 0
[03-25 15:43], 3427          , 12786         , 0
[03-25 16:13], 3571          , 12786         , 0
[03-25 16:43], 3673          , 12786         , 0
[03-25 17:13], 3673          , 12786         , 0
[03-25 17:43], 3985          , 12786         , 0
[03-25 18:13], 3985          , 12786         , 0
[03-25 18:43], 4206          , 12786         , 0
[03-25 19:13], 4427          , 12786         , 0
[03-25 19:43], 4619          , 12786         , 0
[03-25 20:13], 4706          , 12786         , 0
[03-25 20:43], 4871          , 12786         , 0
[03-25 21:13], 4947          , 12786         , 0
[03-25 21:43], 4947          , 12786         , 0
[03-25 22:13], 4947          , 12786         , 0
[03-25 22:43], 5432          , 12786         , 0
[03-25 23:13], 5540          , 12786         , 0
[03-25 23:43], 5540          , 12786         , 0
[03-26 00:13], 5540          , 12786         , 0
[03-26 00:43], 6012          , 12786         , 0
[03-26 01:13], 6110          , 12786         , 0
[03-26 01:43], 6238          , 12786         , 0
[03-26 02:13], 6449          , 12786         , 0
[03-26 02:43], 6449          , 12786         , 0
[03-26 03:13], 6678          , 12786         , 0
[03-26 03:43], 6753          , 12786         , 0
