[2025-03-28_04:14:25] Total Functions: 8194, Hited Functions: 247 [ 3.014401% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:15:26] Total Functions: 8198, Hited Functions: 566 [ 6.904123% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:16:27] Total Functions: 8198, Hited Functions: 572 [ 6.977312% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:17:28] Total Functions: 8198, Hited Functions: 578 [ 7.050500% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:18:29] Total Functions: 8205, Hited Functions: 590 [ 7.190737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:19:30] Total Functions: 8205, Hited Functions: 590 [ 7.190737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:20:31] Total Functions: 8205, Hited Functions: 593 [ 7.227300% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:21:32] Total Functions: 8205, Hited Functions: 593 [ 7.227300% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:22:33] Total Functions: 8205, Hited Functions: 594 [ 7.239488% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:23:34] Total Functions: 8205, Hited Functions: 604 [ 7.361365% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:24:35] Total Functions: 8206, Hited Functions: 617 [ 7.518889% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:25:36] Total Functions: 8206, Hited Functions: 619 [ 7.543261% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:26:37] Total Functions: 8207, Hited Functions: 625 [ 7.615450% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:27:38] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:28:39] Total Functions: 8208, Hited Functions: 627 [ 7.638889% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:29:40] Total Functions: 8208, Hited Functions: 627 [ 7.638889% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:30:41] Total Functions: 8208, Hited Functions: 629 [ 7.663255% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:31:42] Total Functions: 8208, Hited Functions: 634 [ 7.724172% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:32:43] Total Functions: 8208, Hited Functions: 634 [ 7.724172% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:33:44] Total Functions: 8208, Hited Functions: 634 [ 7.724172% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:34:45] Total Functions: 8208, Hited Functions: 634 [ 7.724172% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:35:46] Total Functions: 8208, Hited Functions: 634 [ 7.724172% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:36:47] Total Functions: 8208, Hited Functions: 636 [ 7.748538% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:37:48] Total Functions: 8208, Hited Functions: 639 [ 7.785088% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:38:49] Total Functions: 8208, Hited Functions: 639 [ 7.785088% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:39:50] Total Functions: 8208, Hited Functions: 643 [ 7.833821% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:40:51] Total Functions: 8208, Hited Functions: 643 [ 7.833821% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:41:52] Total Functions: 8208, Hited Functions: 643 [ 7.833821% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:42:53] Total Functions: 8208, Hited Functions: 645 [ 7.858187% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:43:54] Total Functions: 8208, Hited Functions: 648 [ 7.894737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:44:55] Total Functions: 8208, Hited Functions: 648 [ 7.894737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:45:56] Total Functions: 8208, Hited Functions: 648 [ 7.894737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:46:57] Total Functions: 8208, Hited Functions: 648 [ 7.894737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:47:58] Total Functions: 8208, Hited Functions: 648 [ 7.894737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:48:59] Total Functions: 8208, Hited Functions: 648 [ 7.894737% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:50:00] Total Functions: 8209, Hited Functions: 661 [ 8.052138% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:51:01] Total Functions: 8209, Hited Functions: 662 [ 8.064320% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:52:02] Total Functions: 8212, Hited Functions: 667 [ 8.122260% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:53:03] Total Functions: 8212, Hited Functions: 667 [ 8.122260% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:54:04] Total Functions: 8212, Hited Functions: 667 [ 8.122260% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:55:05] Total Functions: 8212, Hited Functions: 667 [ 8.122260% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:56:06] Total Functions: 8212, Hited Functions: 667 [ 8.122260% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:57:07] Total Functions: 8213, Hited Functions: 677 [ 8.243029% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:58:08] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_04:59:09] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:00:10] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:01:11] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:02:12] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:03:13] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:04:14] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:05:15] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:06:16] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:07:17] Total Functions: 8213, Hited Functions: 679 [ 8.267381% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:08:18] Total Functions: 8217, Hited Functions: 691 [ 8.409395% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:09:19] Total Functions: 8217, Hited Functions: 691 [ 8.409395% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:10:20] Total Functions: 8217, Hited Functions: 691 [ 8.409395% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:11:21] Total Functions: 8217, Hited Functions: 701 [ 8.531094% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:12:22] Total Functions: 8217, Hited Functions: 706 [ 8.591944% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:13:23] Total Functions: 8217, Hited Functions: 709 [ 8.628453% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:14:24] Total Functions: 8217, Hited Functions: 709 [ 8.628453% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:15:25] Total Functions: 8217, Hited Functions: 709 [ 8.628453% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:16:26] Total Functions: 8217, Hited Functions: 709 [ 8.628453% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:17:27] Total Functions: 8217, Hited Functions: 709 [ 8.628453% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:18:28] Total Functions: 8217, Hited Functions: 709 [ 8.628453% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:19:29] Total Functions: 8217, Hited Functions: 728 [ 8.859681% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:20:30] Total Functions: 8217, Hited Functions: 728 [ 8.859681% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:21:31] Total Functions: 8217, Hited Functions: 728 [ 8.859681% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:22:32] Total Functions: 8217, Hited Functions: 728 [ 8.859681% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:23:33] Total Functions: 8217, Hited Functions: 728 [ 8.859681% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:24:34] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:25:35] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:26:36] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:27:37] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:28:38] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:29:39] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:30:40] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:31:41] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:32:42] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:33:43] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:34:44] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:35:45] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:36:46] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:37:47] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:38:48] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:39:49] Total Functions: 8217, Hited Functions: 729 [ 8.871851% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:40:50] Total Functions: 8217, Hited Functions: 737 [ 8.969210% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:41:51] Total Functions: 8217, Hited Functions: 737 [ 8.969210% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:42:52] Total Functions: 8219, Hited Functions: 763 [ 9.283368% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:43:53] Total Functions: 8219, Hited Functions: 765 [ 9.307702% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:44:54] Total Functions: 8219, Hited Functions: 765 [ 9.307702% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:45:55] Total Functions: 8220, Hited Functions: 788 [ 9.586375% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:46:56] Total Functions: 8220, Hited Functions: 788 [ 9.586375% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:47:57] Total Functions: 8220, Hited Functions: 788 [ 9.586375% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:48:58] Total Functions: 8220, Hited Functions: 788 [ 9.586375% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:49:59] Total Functions: 8220, Hited Functions: 791 [ 9.622871% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:51:00] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:52:01] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:53:02] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:54:03] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:55:04] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:56:05] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:57:06] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:58:07] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_05:59:08] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_06:00:09] Total Functions: 8220, Hited Functions: 796 [ 9.683698% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_06:01:10] Total Functions: 8220, Hited Functions: 801 [ 9.744526% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_06:02:11] Total Functions: 8220, Hited Functions: 801 [ 9.744526% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_06:03:12] Total Functions: 8220, Hited Functions: 802 [ 9.756691% ], Hited Edges: 0, Total Edges: 16416
[2025-03-28_06:04:13] Total Functions: 8221, Hited Functions: 803 [ 9.767668% ], Hited Edges: 0, Total Edges: 16416
