real_map_size: 243410
loging--time, explored-paths, covered-blocks, crashes
[03-28 04:14], 201           , 3530          , 0
[03-28 04:44], 2883          , 6341          , 0
[03-28 05:14], 4466          , 7486          , 0
[03-28 05:44], 5630          , 8480          , 0
[03-28 06:14], 6995          , 10160         , 0
[03-28 06:44], 7953          , 10727         , 0
[03-28 07:14], 9215          , 12060         , 0
[03-28 07:44], 9993          , 12602         , 0
[03-28 08:14], 10852         , 13297         , 0
[03-28 08:44], 11788         , 14836         , 0
[03-28 09:14], 13171         , 16904         , 0
[03-28 09:44], 14425         , 17583         , 0
[03-28 10:14], 15705         , 18169         , 0
[03-28 10:44], 16658         , 18346         , 0
[03-28 11:14], 17434         , 18488         , 0
[03-28 11:44], 18448         , 18892         , 0
[03-28 12:14], 19177         , 18967         , 0
[03-28 12:44], 19830         , 19016         , 0
[03-28 13:14], 20320         , 19111         , 0
[03-28 13:44], 20929         , 19202         , 0
[03-28 14:14], 21500         , 19251         , 0
[03-28 14:44], 22097         , 19397         , 0
[03-28 15:14], 22622         , 19425         , 0
[03-28 15:44], 23302         , 19727         , 0
[03-28 16:14], 23818         , 19746         , 0
[03-28 16:44], 24316         , 19970         , 0
[03-28 17:14], 24671         , 20002         , 0
[03-28 17:44], 25117         , 20019         , 0
[03-28 18:14], 25465         , 20023         , 0
[03-28 18:44], 25825         , 20031         , 0
[03-28 19:14], 26172         , 20059         , 0
[03-28 19:44], 26474         , 20071         , 0
[03-28 20:14], 26771         , 20072         , 0
[03-28 20:44], 27051         , 20081         , 0
[03-28 21:14], 27360         , 20084         , 0
[03-28 21:44], 27660         , 20089         , 0
[03-28 22:14], 27918         , 20096         , 0
[03-28 22:44], 28400         , 21413         , 0
[03-28 23:14], 28635         , 21422         , 0
[03-28 23:44], 28892         , 21423         , 0
[03-29 00:14], 29164         , 21487         , 0
[03-29 00:44], 29424         , 21489         , 0
[03-29 01:14], 29648         , 21523         , 0
[03-29 01:44], 29884         , 21545         , 0
[03-29 02:14], 30119         , 21548         , 0
[03-29 02:44], 30338         , 21550         , 0
[03-29 03:14], 30544         , 21617         , 0
[03-29 03:44], 30808         , 21730         , 0
