[2025-03-27_04:14:06] Total Functions: 781, Hited Functions: 258 [ 33.034571% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:15:07] Total Functions: 1008, Hited Functions: 536 [ 53.174603% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:16:08] Total Functions: 1008, Hited Functions: 536 [ 53.174603% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:17:09] Total Functions: 1060, Hited Functions: 588 [ 55.471698% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:18:10] Total Functions: 1066, Hited Functions: 594 [ 55.722326% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:19:11] Total Functions: 1085, Hited Functions: 614 [ 56.589862% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:20:12] Total Functions: 1086, Hited Functions: 615 [ 56.629834% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:21:13] Total Functions: 1086, Hited Functions: 615 [ 56.629834% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:22:14] Total Functions: 1100, Hited Functions: 629 [ 57.181818% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:23:15] Total Functions: 1122, Hited Functions: 651 [ 58.021390% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:24:16] Total Functions: 1129, Hited Functions: 658 [ 58.281665% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:25:17] Total Functions: 1130, Hited Functions: 659 [ 58.318584% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:26:18] Total Functions: 1135, Hited Functions: 664 [ 58.502203% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:27:19] Total Functions: 1137, Hited Functions: 666 [ 58.575198% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:28:20] Total Functions: 1137, Hited Functions: 666 [ 58.575198% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:29:21] Total Functions: 1142, Hited Functions: 671 [ 58.756567% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:30:22] Total Functions: 1142, Hited Functions: 671 [ 58.756567% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:31:23] Total Functions: 1142, Hited Functions: 671 [ 58.756567% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:32:24] Total Functions: 1145, Hited Functions: 674 [ 58.864629% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:33:25] Total Functions: 1146, Hited Functions: 675 [ 58.900524% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:34:26] Total Functions: 1146, Hited Functions: 675 [ 58.900524% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:35:27] Total Functions: 1228, Hited Functions: 760 [ 61.889251% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:36:28] Total Functions: 1232, Hited Functions: 764 [ 62.012987% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:37:29] Total Functions: 1235, Hited Functions: 767 [ 62.105263% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:38:30] Total Functions: 1240, Hited Functions: 773 [ 62.338710% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:39:31] Total Functions: 1243, Hited Functions: 776 [ 62.429606% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:40:32] Total Functions: 1246, Hited Functions: 779 [ 62.520064% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:41:33] Total Functions: 1248, Hited Functions: 781 [ 62.580128% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:42:34] Total Functions: 1250, Hited Functions: 783 [ 62.640000% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:43:35] Total Functions: 1253, Hited Functions: 786 [ 62.729449% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:44:36] Total Functions: 1253, Hited Functions: 786 [ 62.729449% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:45:37] Total Functions: 1253, Hited Functions: 786 [ 62.729449% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:46:38] Total Functions: 1253, Hited Functions: 786 [ 62.729449% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:47:39] Total Functions: 1256, Hited Functions: 789 [ 62.818471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:48:40] Total Functions: 1257, Hited Functions: 790 [ 62.848051% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:49:41] Total Functions: 1258, Hited Functions: 791 [ 62.877583% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:50:42] Total Functions: 1258, Hited Functions: 791 [ 62.877583% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:51:43] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:52:44] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:53:45] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:54:46] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:55:47] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:56:48] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:57:49] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:58:50] Total Functions: 1279, Hited Functions: 814 [ 63.643471% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_04:59:51] Total Functions: 1285, Hited Functions: 820 [ 63.813230% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:00:52] Total Functions: 1287, Hited Functions: 822 [ 63.869464% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:01:53] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:02:54] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:03:55] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:04:56] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:05:57] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:06:58] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:07:59] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:09:00] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:10:01] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:11:02] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:12:03] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:13:04] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:14:05] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:15:06] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:16:07] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:17:08] Total Functions: 1288, Hited Functions: 823 [ 63.897516% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:18:09] Total Functions: 1289, Hited Functions: 824 [ 63.925524% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:19:10] Total Functions: 1290, Hited Functions: 825 [ 63.953488% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:20:11] Total Functions: 1291, Hited Functions: 826 [ 63.981410% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:21:12] Total Functions: 1292, Hited Functions: 827 [ 64.009288% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:22:13] Total Functions: 1293, Hited Functions: 828 [ 64.037123% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:23:14] Total Functions: 1297, Hited Functions: 832 [ 64.148034% ], Hited Edges: 0, Total Edges: 2056
[2025-03-27_05:24:15] Total Functions: 1299, Hited Functions: 834 [ 64.203233% ], Hited Edges: 0, Total Edges: 2056
