real_map_size: 81502
loging--time, explored-paths, covered-blocks, crashes
[03-27 04:14], 31            , 2538          , 0
[03-27 04:44], 1103          , 4064          , 0
[03-27 05:14], 1722          , 4381          , 0
[03-27 05:44], 2195          , 4542          , 0
[03-27 06:14], 2506          , 4640          , 0
[03-27 06:44], 2750          , 4654          , 0
[03-27 07:14], 2973          , 4687          , 0
[03-27 07:44], 3187          , 4703          , 0
[03-27 08:14], 3387          , 4731          , 0
[03-27 08:44], 3610          , 4753          , 0
[03-27 09:14], 3826          , 4758          , 0
[03-27 09:44], 4044          , 4777          , 0
[03-27 10:14], 4253          , 4787          , 0
[03-27 10:44], 4449          , 4791          , 0
[03-27 11:14], 4613          , 4801          , 0
[03-27 11:44], 4795          , 4806          , 0
[03-27 12:14], 4963          , 4829          , 0
[03-27 12:44], 5136          , 4875          , 0
[03-27 13:14], 5305          , 4876          , 0
[03-27 13:44], 5507          , 4896          , 0
[03-27 14:14], 5683          , 4900          , 0
[03-27 14:44], 5864          , 4901          , 0
[03-27 15:14], 6063          , 4909          , 0
[03-27 15:44], 6273          , 4915          , 0
[03-27 16:14], 6431          , 4916          , 0
[03-27 16:44], 6603          , 4916          , 0
[03-27 17:14], 6759          , 4917          , 0
[03-27 17:44], 6923          , 4920          , 0
[03-27 18:14], 7080          , 4935          , 0
[03-27 18:44], 7228          , 4935          , 0
[03-27 19:14], 7392          , 4974          , 0
[03-27 19:44], 7534          , 4974          , 0
[03-27 20:14], 7690          , 5003          , 0
[03-27 20:44], 7835          , 5010          , 0
[03-27 21:14], 7993          , 5012          , 0
[03-27 21:44], 8156          , 5020          , 0
[03-27 22:14], 8316          , 5022          , 0
[03-27 22:44], 8468          , 5026          , 0
[03-27 23:14], 8605          , 5026          , 0
[03-27 23:44], 8763          , 5027          , 0
[03-28 00:14], 8909          , 5051          , 0
[03-28 00:44], 9057          , 5063          , 0
[03-28 01:14], 9223          , 5076          , 0
[03-28 01:44], 9370          , 5076          , 0
[03-28 02:14], 9536          , 5076          , 0
[03-28 02:44], 9687          , 5089          , 0
[03-28 03:14], 9836          , 5089          , 0
[03-28 03:44], 9971          , 5091          , 0
