[2025-03-29_04:14:41] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:15:42] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:16:43] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:17:44] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:18:45] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:19:46] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:20:47] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:21:48] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:22:49] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:23:50] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:24:51] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:25:52] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:26:53] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:27:54] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:28:55] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:29:56] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:30:57] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:31:58] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:32:59] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:34:00] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:35:01] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:36:02] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:37:03] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:38:04] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:39:05] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:40:06] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:41:07] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:42:08] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:43:09] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:44:10] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:45:11] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:46:12] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:47:13] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:48:14] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:49:15] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:50:16] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:51:17] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:52:18] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:53:19] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:54:20] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:55:21] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:56:22] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
[2025-03-29_04:57:23] Total Functions: 2493, Hited Functions: 55 [ 2.206177% ], Hited Edges: 0, Total Edges: 6369
