real_map_size: 13621
loging--time, explored-paths, covered-blocks, crashes
[03-29 04:15], 10            , 292           , 0
[03-29 04:45], 150           , 292           , 0
[03-29 05:15], 269           , 292           , 0
[03-29 05:45], 409           , 292           , 0
[03-29 06:15], 539           , 292           , 0
[03-29 06:45], 675           , 292           , 0
[03-29 07:15], 791           , 292           , 0
[03-29 07:45], 923           , 292           , 0
[03-29 08:15], 1045          , 292           , 0
[03-29 08:45], 1178          , 292           , 0
[03-29 09:15], 1286          , 292           , 0
[03-29 09:45], 1398          , 292           , 0
[03-29 10:15], 1520          , 292           , 0
[03-29 10:45], 1639          , 292           , 0
[03-29 11:15], 1756          , 292           , 0
[03-29 11:45], 1885          , 292           , 0
[03-29 12:15], 1998          , 292           , 0
[03-29 12:45], 2107          , 292           , 0
[03-29 13:15], 2215          , 292           , 0
[03-29 13:45], 2332          , 292           , 0
[03-29 14:15], 2451          , 292           , 0
[03-29 14:45], 2597          , 292           , 0
[03-29 15:15], 2711          , 292           , 0
[03-29 15:45], 2848          , 292           , 0
[03-29 16:15], 2970          , 292           , 0
[03-29 16:45], 3100          , 292           , 0
[03-29 17:15], 3216          , 292           , 0
[03-29 17:45], 3356          , 292           , 0
[03-29 18:15], 3493          , 292           , 0
[03-29 18:45], 3625          , 292           , 0
[03-29 19:15], 3750          , 292           , 0
[03-29 19:45], 3887          , 292           , 0
[03-29 20:15], 4018          , 292           , 0
[03-29 20:45], 4157          , 292           , 0
[03-29 21:15], 4273          , 292           , 0
[03-29 21:45], 4397          , 292           , 0
[03-29 22:15], 4524          , 292           , 0
[03-29 22:45], 4650          , 292           , 0
[03-29 23:15], 4779          , 292           , 0
[03-29 23:45], 4915          , 292           , 0
[03-30 00:15], 5049          , 292           , 0
[03-30 00:45], 5177          , 292           , 0
[03-30 01:15], 5305          , 292           , 0
[03-30 01:45], 5434          , 292           , 0
[03-30 02:15], 5575          , 292           , 0
[03-30 02:45], 5711          , 292           , 0
[03-30 03:15], 5832          , 292           , 0
[03-30 03:45], 5965          , 292           , 0
