[2025-03-26_04:13:49] Total Functions: 462, Hited Functions: 44 [ 9.523810% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:14:50] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:15:51] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:16:52] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:17:53] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:18:54] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:19:55] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:20:56] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:21:57] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:22:58] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:23:59] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:25:00] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:26:01] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:27:02] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:28:03] Total Functions: 462, Hited Functions: 79 [ 17.099567% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:29:04] Total Functions: 462, Hited Functions: 79 [ 17.099567% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:30:05] Total Functions: 462, Hited Functions: 79 [ 17.099567% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:31:06] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:32:07] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:33:08] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:34:09] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:35:10] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:36:11] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:37:12] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:38:13] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:39:14] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:40:15] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:41:16] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:42:17] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:43:18] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:44:19] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:45:20] Total Functions: 462, Hited Functions: 83 [ 17.965368% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:46:21] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:47:22] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:48:23] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:49:24] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:50:25] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:51:26] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:52:27] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:53:28] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:54:29] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:55:30] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:56:31] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:57:32] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:58:33] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_04:59:34] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:00:35] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:01:36] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:02:37] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:03:38] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:04:39] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:05:40] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:06:41] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:07:42] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:08:43] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:09:44] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:10:45] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:11:46] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:12:47] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:13:48] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:14:49] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:15:50] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:16:51] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:17:52] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:18:53] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:19:54] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:20:55] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:21:56] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:22:57] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:23:58] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:24:59] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:26:00] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:27:01] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:28:02] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
[2025-03-26_05:29:03] Total Functions: 462, Hited Functions: 84 [ 18.181818% ], Hited Edges: 0, Total Edges: 1156
