real_map_size: 7027
loging--time, explored-paths, covered-blocks, crashes
[03-26 04:14], 154           , 432           , 0
[03-26 04:44], 480           , 487           , 0
[03-26 05:14], 702           , 498           , 0
[03-26 05:44], 869           , 500           , 0
[03-26 06:14], 1053          , 500           , 0
[03-26 06:44], 1202          , 500           , 0
[03-26 07:14], 1349          , 500           , 0
[03-26 07:44], 1490          , 504           , 0
[03-26 08:14], 1644          , 504           , 0
[03-26 08:44], 1790          , 504           , 0
[03-26 09:14], 1924          , 504           , 0
[03-26 09:44], 2080          , 505           , 0
[03-26 10:14], 2229          , 505           , 0
[03-26 10:44], 2381          , 505           , 0
[03-26 11:14], 2529          , 505           , 0
[03-26 11:44], 2666          , 505           , 0
[03-26 12:14], 2792          , 505           , 0
[03-26 12:44], 2925          , 505           , 0
[03-26 13:14], 3056          , 505           , 0
[03-26 13:44], 3190          , 505           , 0
[03-26 14:14], 3327          , 505           , 0
[03-26 14:44], 3468          , 505           , 0
[03-26 15:14], 3615          , 505           , 0
[03-26 15:44], 3741          , 505           , 0
[03-26 16:14], 3883          , 505           , 0
[03-26 16:44], 4027          , 505           , 0
[03-26 17:14], 4162          , 505           , 0
[03-26 17:44], 4294          , 505           , 0
[03-26 18:14], 4418          , 505           , 0
[03-26 18:44], 4574          , 505           , 0
[03-26 19:14], 4714          , 505           , 0
[03-26 19:44], 4857          , 505           , 0
[03-26 20:14], 5001          , 505           , 0
[03-26 20:44], 5139          , 505           , 0
[03-26 21:14], 5292          , 505           , 0
[03-26 21:44], 5441          , 505           , 0
[03-26 22:14], 5574          , 505           , 0
[03-26 22:44], 5705          , 505           , 0
[03-26 23:14], 5840          , 505           , 0
[03-26 23:44], 5970          , 505           , 0
[03-27 00:14], 6087          , 505           , 0
[03-27 00:44], 6226          , 505           , 0
[03-27 01:14], 6366          , 505           , 0
[03-27 01:44], 6498          , 505           , 0
[03-27 02:14], 6641          , 505           , 0
[03-27 02:44], 6768          , 505           , 0
[03-27 03:14], 6898          , 505           , 0
[03-27 03:44], 7035          , 505           , 0
