[2025-03-30_04:14:59] Total Functions: 2325, Hited Functions: 163 [ 7.010753% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:16:00] Total Functions: 2325, Hited Functions: 328 [ 14.107527% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:17:01] Total Functions: 2325, Hited Functions: 328 [ 14.107527% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:18:02] Total Functions: 2325, Hited Functions: 330 [ 14.193548% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:19:03] Total Functions: 2325, Hited Functions: 336 [ 14.451613% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:20:04] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:21:05] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:22:06] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:23:07] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:24:08] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:25:09] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:26:10] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:27:11] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:28:12] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:29:13] Total Functions: 2325, Hited Functions: 343 [ 14.752688% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:30:14] Total Functions: 2325, Hited Functions: 343 [ 14.752688% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:31:15] Total Functions: 2325, Hited Functions: 343 [ 14.752688% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:32:16] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:33:17] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:34:18] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:35:19] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:36:20] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:37:21] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:38:22] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:39:23] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:40:24] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:41:25] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:42:26] Total Functions: 2325, Hited Functions: 346 [ 14.881720% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:43:27] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:44:28] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:45:29] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:46:30] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
[2025-03-30_04:47:31] Total Functions: 2325, Hited Functions: 348 [ 14.967742% ], Hited Edges: 0, Total Edges: 14796
