real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[03-30 04:15], 903           , 2818          , 0
[03-30 04:45], 4436          , 4092          , 0
[03-30 05:15], 5751          , 4284          , 0
[03-30 05:45], 6501          , 4344          , 0
[03-30 06:15], 7232          , 4394          , 0
[03-30 06:45], 7692          , 4419          , 0
[03-30 07:15], 8049          , 4428          , 0
[03-30 07:45], 8350          , 4435          , 0
[03-30 08:15], 8666          , 4457          , 0
[03-30 08:45], 8936          , 4520          , 0
[03-30 09:15], 9220          , 4523          , 0
[03-30 09:45], 9446          , 4526          , 0
[03-30 10:15], 9722          , 4535          , 0
[03-30 10:45], 9938          , 4538          , 0
[03-30 11:15], 10135         , 4549          , 0
[03-30 11:45], 10294         , 4552          , 0
[03-30 12:15], 10441         , 4554          , 0
[03-30 12:45], 10615         , 4556          , 0
[03-30 13:15], 10822         , 4568          , 0
[03-30 13:45], 10980         , 4569          , 0
[03-30 14:15], 11125         , 4570          , 0
[03-30 14:45], 11280         , 4570          , 0
[03-30 15:15], 11421         , 4574          , 0
[03-30 15:45], 11549         , 4576          , 0
[03-30 16:15], 11700         , 4577          , 0
[03-30 16:45], 11861         , 4583          , 0
[03-30 17:15], 12016         , 4591          , 0
[03-30 17:45], 12167         , 4593          , 0
[03-30 18:15], 12324         , 4593          , 0
[03-30 18:45], 12460         , 4594          , 0
[03-30 19:15], 12614         , 4597          , 0
[03-30 19:45], 12753         , 4600          , 0
[03-30 20:15], 12898         , 4602          , 0
[03-30 20:45], 13036         , 4603          , 0
[03-30 21:15], 13171         , 4605          , 0
[03-30 21:45], 13326         , 4605          , 0
[03-30 22:15], 13436         , 4605          , 0
[03-30 22:45], 13562         , 4606          , 0
[03-30 23:15], 13686         , 4606          , 0
[03-30 23:45], 13808         , 4608          , 0
[03-31 00:15], 13929         , 4608          , 0
[03-31 00:45], 14066         , 4610          , 0
[03-31 01:15], 14196         , 4610          , 0
[03-31 01:45], 14317         , 4612          , 0
[03-31 02:15], 14441         , 4612          , 0
[03-31 02:45], 14583         , 4616          , 0
[03-31 03:15], 14712         , 4616          , 0
[03-31 03:45], 14847         , 4618          , 0
