real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[03-31 04:16], 247           , 216           , 0
[03-31 04:46], 699           , 228           , 0
[03-31 05:16], 917           , 231           , 0
[03-31 05:46], 1042          , 231           , 0
[03-31 06:16], 1150          , 231           , 0
[03-31 06:46], 1253          , 231           , 0
[03-31 07:16], 1369          , 231           , 0
[03-31 07:46], 1470          , 231           , 0
[03-31 08:16], 1592          , 231           , 0
[03-31 08:46], 1693          , 231           , 0
[03-31 09:16], 1804          , 231           , 0
[03-31 09:46], 1923          , 232           , 0
[03-31 10:16], 2034          , 232           , 0
[03-31 10:46], 2148          , 232           , 0
[03-31 11:16], 2254          , 232           , 0
[03-31 11:46], 2353          , 232           , 0
[03-31 12:16], 2461          , 232           , 0
[03-31 12:46], 2584          , 232           , 0
[03-31 13:16], 2682          , 232           , 0
[03-31 13:46], 2787          , 232           , 0
[03-31 14:16], 2885          , 232           , 0
[03-31 14:46], 3001          , 232           , 0
[03-31 15:16], 3110          , 232           , 0
[03-31 15:46], 3224          , 232           , 0
[03-31 16:16], 3330          , 232           , 0
[03-31 16:46], 3440          , 232           , 0
[03-31 17:16], 3560          , 232           , 0
[03-31 17:46], 3667          , 232           , 0
[03-31 18:16], 3773          , 232           , 0
[03-31 18:46], 3888          , 232           , 0
[03-31 19:16], 3992          , 232           , 0
[03-31 19:46], 4112          , 232           , 0
[03-31 20:16], 4215          , 232           , 0
[03-31 20:46], 4324          , 232           , 0
[03-31 21:16], 4432          , 232           , 0
[03-31 21:46], 4538          , 232           , 0
[03-31 22:16], 4645          , 232           , 0
[03-31 22:46], 4753          , 232           , 0
[03-31 23:16], 4871          , 232           , 0
[03-31 23:46], 4985          , 232           , 0
[04-01 00:16], 5092          , 232           , 0
[04-01 00:46], 5198          , 232           , 0
[04-01 01:16], 5304          , 232           , 0
[04-01 01:46], 5417          , 232           , 0
[04-01 02:16], 5534          , 232           , 0
[04-01 02:46], 5643          , 232           , 0
[04-01 03:16], 5747          , 232           , 0
[04-01 03:46], 5862          , 232           , 0
