real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[03-31 04:15], 123           , 295           , 0
[03-31 04:45], 405           , 314           , 0
[03-31 05:15], 546           , 315           , 0
[03-31 05:45], 677           , 315           , 0
[03-31 06:15], 814           , 316           , 0
[03-31 06:45], 943           , 316           , 0
[03-31 07:15], 1075          , 316           , 0
[03-31 07:45], 1208          , 316           , 0
[03-31 08:15], 1337          , 316           , 0
[03-31 08:45], 1468          , 316           , 0
[03-31 09:15], 1607          , 316           , 0
[03-31 09:45], 1737          , 316           , 0
[03-31 10:15], 1868          , 316           , 0
[03-31 10:45], 2000          , 316           , 0
[03-31 11:15], 2127          , 316           , 0
[03-31 11:45], 2263          , 316           , 0
[03-31 12:15], 2401          , 316           , 0
[03-31 12:45], 2521          , 316           , 0
[03-31 13:15], 2654          , 316           , 0
[03-31 13:45], 2781          , 316           , 0
[03-31 14:15], 2907          , 316           , 0
[03-31 14:45], 3048          , 316           , 0
[03-31 15:15], 3187          , 316           , 0
[03-31 15:45], 3319          , 316           , 0
[03-31 16:15], 3451          , 316           , 0
[03-31 16:45], 3564          , 316           , 0
[03-31 17:15], 3698          , 316           , 0
[03-31 17:45], 3814          , 316           , 0
[03-31 18:15], 3945          , 316           , 0
[03-31 18:45], 4071          , 316           , 0
[03-31 19:15], 4199          , 316           , 0
[03-31 19:45], 4324          , 316           , 0
[03-31 20:15], 4453          , 316           , 0
[03-31 20:45], 4584          , 316           , 0
[03-31 21:15], 4722          , 316           , 0
[03-31 21:45], 4863          , 316           , 0
[03-31 22:15], 4997          , 316           , 0
[03-31 22:45], 5111          , 316           , 0
[03-31 23:15], 5242          , 316           , 0
[03-31 23:45], 5382          , 316           , 0
[04-01 00:15], 5522          , 316           , 0
[04-01 00:45], 5649          , 316           , 0
[04-01 01:15], 5777          , 316           , 0
[04-01 01:45], 5917          , 316           , 0
[04-01 02:15], 6039          , 316           , 0
[04-01 02:45], 6172          , 316           , 0
[04-01 03:15], 6298          , 316           , 0
[04-01 03:45], 6422          , 316           , 0
