real_map_size: 17572
loging--time, explored-paths, covered-blocks, crashes
[03-29 04:15], 13            , 385           , 0
[03-29 04:45], 146           , 385           , 0
[03-29 05:15], 268           , 385           , 0
[03-29 05:45], 401           , 385           , 0
[03-29 06:15], 523           , 385           , 0
[03-29 06:45], 646           , 385           , 0
[03-29 07:15], 777           , 385           , 0
[03-29 07:45], 905           , 385           , 0
[03-29 08:15], 1031          , 385           , 0
[03-29 08:45], 1156          , 385           , 0
[03-29 09:15], 1268          , 385           , 0
[03-29 09:45], 1387          , 385           , 0
[03-29 10:15], 1516          , 385           , 0
[03-29 10:45], 1632          , 385           , 0
[03-29 11:15], 1760          , 385           , 0
[03-29 11:45], 1881          , 385           , 0
[03-29 12:15], 2003          , 385           , 0
[03-29 12:45], 2122          , 385           , 0
[03-29 13:15], 2240          , 385           , 0
[03-29 13:45], 2356          , 385           , 0
[03-29 14:15], 2473          , 385           , 0
[03-29 14:45], 2594          , 385           , 0
[03-29 15:15], 2717          , 385           , 0
[03-29 15:45], 2858          , 385           , 0
[03-29 16:15], 2985          , 385           , 0
[03-29 16:45], 3118          , 385           , 0
[03-29 17:15], 3256          , 385           , 0
[03-29 17:45], 3382          , 385           , 0
[03-29 18:15], 3510          , 385           , 0
[03-29 18:45], 3649          , 385           , 0
[03-29 19:15], 3788          , 385           , 0
[03-29 19:45], 3924          , 385           , 0
[03-29 20:15], 4044          , 385           , 0
[03-29 20:45], 4164          , 385           , 0
[03-29 21:15], 4287          , 385           , 0
[03-29 21:45], 4413          , 385           , 0
[03-29 22:15], 4530          , 385           , 0
[03-29 22:45], 4668          , 385           , 0
[03-29 23:15], 4793          , 385           , 0
[03-29 23:45], 4928          , 385           , 0
[03-30 00:15], 5064          , 385           , 0
[03-30 00:45], 5186          , 385           , 0
[03-30 01:15], 5311          , 385           , 0
[03-30 01:45], 5456          , 385           , 0
[03-30 02:15], 5592          , 385           , 0
[03-30 02:45], 5728          , 385           , 0
[03-30 03:15], 5868          , 385           , 0
[03-30 03:45], 6005          , 385           , 0
