real_map_size: 15695
loging--time, explored-paths, covered-blocks, crashes
[03-25 04:13], 113           , 1898          , 55
[03-25 04:43], 1190          , 2237          , 652
[03-25 05:13], 1550          , 2277          , 1094
[03-25 05:43], 1797          , 2593          , 1563
[03-25 06:13], 2046          , 2629          , 2203
[03-25 06:43], 2273          , 2649          , 2883
[03-25 07:13], 2467          , 2651          , 3544
[03-25 07:43], 2629          , 2665          , 4198
[03-25 08:13], 2787          , 2676          , 4836
[03-25 08:43], 2986          , 2694          , 5435
[03-25 09:13], 3178          , 2721          , 6098
[03-25 09:43], 3353          , 2736          , 6671
[03-25 10:13], 3576          , 2743          , 7150
[03-25 10:43], 3754          , 2751          , 7716
[03-25 11:13], 3931          , 2756          , 8342
[03-25 11:43], 4102          , 2774          , 8901
[03-25 12:13], 4279          , 2776          , 9225
[03-25 12:43], 4629          , 2907          , 9801
[03-25 13:13], 5423          , 3050          , 11592
[03-25 13:43], 5899          , 3081          , 12794
[03-25 14:13], 6202          , 3095          , 13710
[03-25 14:43], 6524          , 3109          , 14818
[03-25 15:13], 6787          , 3116          , 15750
[03-25 15:43], 6992          , 3118          , 16742
[03-25 16:13], 7191          , 3119          , 17385
[03-25 16:43], 7361          , 3119          , 18314
[03-25 17:13], 7569          , 3120          , 19328
[03-25 17:43], 7762          , 3123          , 20399
[03-25 18:13], 7921          , 3124          , 21324
[03-25 18:43], 8111          , 3124          , 22369
[03-25 19:13], 8276          , 3124          , 23346
[03-25 19:43], 8437          , 3125          , 24268
[03-25 20:13], 8584          , 3125          , 24912
[03-25 20:43], 8731          , 3125          , 25638
[03-25 21:13], 8892          , 3127          , 26562
[03-25 21:43], 9032          , 3127          , 27407
[03-25 22:13], 9179          , 3127          , 28356
[03-25 22:43], 9324          , 3128          , 29319
[03-25 23:13], 9470          , 3128          , 30236
[03-25 23:43], 9620          , 3128          , 31141
[03-26 00:13], 9749          , 3128          , 32063
[03-26 00:43], 9893          , 3128          , 32833
[03-26 01:13], 10039         , 3129          , 33626
[03-26 01:43], 10164         , 3129          , 34490
[03-26 02:13], 10313         , 3131          , 35373
[03-26 02:43], 10469         , 3132          , 36050
[03-26 03:13], 10609         , 3133          , 36975
[03-26 03:43], 10749         , 3133          , 37850
