[2025-03-27_04:13:57] Total Functions: 843, Hited Functions: 29 [ 3.440095% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:14:58] Total Functions: 844, Hited Functions: 134 [ 15.876777% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:15:59] Total Functions: 844, Hited Functions: 161 [ 19.075829% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:17:00] Total Functions: 844, Hited Functions: 165 [ 19.549763% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:18:01] Total Functions: 844, Hited Functions: 170 [ 20.142180% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:19:02] Total Functions: 845, Hited Functions: 180 [ 21.301775% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:20:03] Total Functions: 845, Hited Functions: 189 [ 22.366864% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:21:04] Total Functions: 846, Hited Functions: 192 [ 22.695035% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:22:05] Total Functions: 847, Hited Functions: 195 [ 23.022432% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:23:07] Total Functions: 847, Hited Functions: 195 [ 23.022432% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:24:08] Total Functions: 847, Hited Functions: 195 [ 23.022432% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:25:09] Total Functions: 847, Hited Functions: 206 [ 24.321133% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:26:10] Total Functions: 847, Hited Functions: 207 [ 24.439197% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:27:11] Total Functions: 848, Hited Functions: 213 [ 25.117925% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:28:12] Total Functions: 848, Hited Functions: 217 [ 25.589623% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:29:13] Total Functions: 848, Hited Functions: 217 [ 25.589623% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:30:14] Total Functions: 848, Hited Functions: 217 [ 25.589623% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:31:15] Total Functions: 848, Hited Functions: 219 [ 25.825472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:32:16] Total Functions: 848, Hited Functions: 219 [ 25.825472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:33:17] Total Functions: 848, Hited Functions: 219 [ 25.825472% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:34:18] Total Functions: 848, Hited Functions: 224 [ 26.415094% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:35:19] Total Functions: 848, Hited Functions: 224 [ 26.415094% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:36:20] Total Functions: 848, Hited Functions: 224 [ 26.415094% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:37:21] Total Functions: 848, Hited Functions: 225 [ 26.533019% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:38:23] Total Functions: 848, Hited Functions: 225 [ 26.533019% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:39:24] Total Functions: 848, Hited Functions: 225 [ 26.533019% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:40:25] Total Functions: 848, Hited Functions: 225 [ 26.533019% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:41:26] Total Functions: 848, Hited Functions: 225 [ 26.533019% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:42:27] Total Functions: 848, Hited Functions: 225 [ 26.533019% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:43:28] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:44:29] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:45:30] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:46:31] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:47:32] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:48:33] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:49:34] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:50:35] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:51:36] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:52:37] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
[2025-03-27_04:53:38] Total Functions: 848, Hited Functions: 226 [ 26.650943% ], Hited Edges: 0, Total Edges: 2852
