real_map_size: 33105
loging--time, explored-paths, covered-blocks, crashes
[03-27 04:14], 370           , 908           , 0
[03-27 04:44], 1886          , 2571          , 0
[03-27 05:14], 2505          , 3003          , 0
[03-27 05:44], 3070          , 3299          , 0
[03-27 06:14], 3453          , 3476          , 0
[03-27 06:44], 3808          , 3664          , 0
[03-27 07:14], 4107          , 3758          , 0
[03-27 07:44], 4409          , 3881          , 0
[03-27 08:14], 4716          , 3962          , 0
[03-27 08:44], 5014          , 4093          , 0
[03-27 09:14], 5281          , 4157          , 0
[03-27 09:44], 5510          , 4231          , 0
[03-27 10:14], 5751          , 4269          , 0
[03-27 10:44], 5995          , 4321          , 0
[03-27 11:14], 6225          , 4365          , 0
[03-27 11:44], 6441          , 4386          , 0
[03-27 12:14], 6627          , 4408          , 0
[03-27 12:44], 6840          , 4455          , 0
[03-27 13:14], 7060          , 4497          , 0
[03-27 13:44], 7461          , 4787          , 0
[03-27 14:14], 7663          , 4821          , 0
[03-27 14:44], 7897          , 4877          , 0
[03-27 15:14], 8159          , 4914          , 0
[03-27 15:44], 8369          , 4940          , 0
[03-27 16:14], 8574          , 4983          , 0
[03-27 16:44], 8750          , 5005          , 0
[03-27 17:14], 8947          , 5051          , 0
[03-27 17:44], 9138          , 5083          , 0
[03-27 18:14], 9297          , 5099          , 0
[03-27 18:44], 9471          , 5121          , 0
[03-27 19:14], 9652          , 5172          , 0
[03-27 19:44], 9843          , 5197          , 0
[03-27 20:14], 10075         , 5309          , 0
[03-27 20:44], 10260         , 5347          , 0
[03-27 21:14], 10460         , 5358          , 0
[03-27 21:44], 10657         , 5460          , 0
[03-27 22:14], 10906         , 5560          , 0
[03-27 22:44], 11085         , 5574          , 0
[03-27 23:14], 11261         , 5618          , 0
[03-27 23:44], 11420         , 5635          , 0
[03-28 00:14], 11569         , 5656          , 0
[03-28 00:44], 11743         , 5677          , 0
[03-28 01:14], 11910         , 5707          , 0
[03-28 01:44], 12062         , 5712          , 0
[03-28 02:14], 12256         , 5761          , 0
[03-28 02:44], 12415         , 5765          , 0
[03-28 03:14], 12580         , 5771          , 0
[03-28 03:44], 12741         , 5775          , 0
