[2025-03-30_04:14:54] Total Functions: 1361, Hited Functions: 58 [ 4.261572% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:15:55] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:16:56] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:17:57] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:18:58] Total Functions: 1363, Hited Functions: 391 [ 28.686720% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:19:59] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:21:00] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:22:01] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:23:02] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:24:03] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:25:04] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:26:05] Total Functions: 1363, Hited Functions: 392 [ 28.760088% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:27:06] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:28:07] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:29:08] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:30:09] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:31:10] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:32:11] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:33:12] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:34:13] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:35:14] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:36:15] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:37:16] Total Functions: 1363, Hited Functions: 393 [ 28.833456% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:38:17] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:39:18] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:40:19] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:41:20] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:42:21] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:43:22] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:44:23] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:45:24] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:46:25] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:47:26] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:48:27] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
[2025-03-30_04:49:28] Total Functions: 1363, Hited Functions: 394 [ 28.906823% ], Hited Edges: 0, Total Edges: 3426
