real_map_size: 46243
loging--time, explored-paths, covered-blocks, crashes
[03-30 04:15], 9             , 5898          , 0
[03-30 04:45], 579           , 6590          , 192
[03-30 05:15], 838           , 6687          , 235
[03-30 05:45], 838           , 6687          , 235
[03-30 06:15], 838           , 6687          , 235
[03-30 06:45], 838           , 6687          , 235
[03-30 07:15], 838           , 6687          , 235
[03-30 07:45], 838           , 6687          , 235
[03-30 08:15], 1356          , 6687          , 235
[03-30 08:45], 1356          , 6687          , 235
[03-30 09:15], 1356          , 6687          , 235
[03-30 09:45], 1356          , 6687          , 235
[03-30 10:15], 1356          , 6687          , 235
[03-30 10:45], 1877          , 6687          , 235
[03-30 11:15], 1877          , 6687          , 235
[03-30 11:45], 1877          , 6687          , 235
[03-30 12:15], 1877          , 6687          , 235
[03-30 12:45], 1877          , 6687          , 235
[03-30 13:15], 2404          , 6687          , 235
[03-30 13:45], 2404          , 6687          , 235
[03-30 14:15], 2404          , 6687          , 235
[03-30 14:45], 2404          , 6687          , 235
[03-30 15:15], 2404          , 6687          , 235
[03-30 15:45], 2913          , 6687          , 235
[03-30 16:15], 2913          , 6687          , 235
[03-30 16:45], 2913          , 6687          , 235
[03-30 17:15], 2913          , 6687          , 235
[03-30 17:45], 2913          , 6687          , 235
[03-30 18:15], 3436          , 6687          , 235
[03-30 18:45], 3436          , 6687          , 235
[03-30 19:15], 3436          , 6687          , 235
[03-30 19:45], 3436          , 6687          , 235
[03-30 20:15], 3436          , 6687          , 235
[03-30 20:45], 3436          , 6687          , 235
[03-30 21:15], 3948          , 6687          , 235
[03-30 21:45], 3948          , 6687          , 235
[03-30 22:15], 3948          , 6687          , 235
[03-30 22:45], 3948          , 6687          , 235
[03-30 23:15], 3948          , 6687          , 235
[03-30 23:45], 4491          , 6687          , 235
[03-31 00:15], 4491          , 6687          , 235
[03-31 00:45], 4491          , 6687          , 235
[03-31 01:15], 4491          , 6687          , 235
[03-31 01:45], 4491          , 6687          , 235
[03-31 02:15], 4995          , 6687          , 235
[03-31 02:45], 4995          , 6687          , 235
[03-31 03:15], 4995          , 6687          , 235
[03-31 03:45], 4995          , 6687          , 235
