real_map_size: 7273
loging--time, explored-paths, covered-blocks, crashes
[03-28 04:14], 25            , 86            , 0
[03-28 04:44], 169           , 86            , 0
[03-28 05:14], 284           , 86            , 0
[03-28 05:44], 421           , 86            , 0
[03-28 06:14], 552           , 86            , 0
[03-28 06:44], 676           , 86            , 0
[03-28 07:14], 815           , 86            , 0
[03-28 07:44], 944           , 86            , 0
[03-28 08:14], 1077          , 86            , 0
[03-28 08:44], 1205          , 86            , 0
[03-28 09:14], 1342          , 86            , 0
[03-28 09:44], 1469          , 86            , 0
[03-28 10:14], 1603          , 86            , 0
[03-28 10:44], 1733          , 86            , 0
[03-28 11:14], 1855          , 86            , 0
[03-28 11:44], 1986          , 86            , 0
[03-28 12:14], 2104          , 86            , 0
[03-28 12:44], 2238          , 86            , 0
[03-28 13:14], 2368          , 86            , 0
[03-28 13:44], 2495          , 86            , 0
[03-28 14:14], 2566          , 86            , 0
[03-28 14:44], 2566          , 86            , 0
[03-28 15:14], 2566          , 86            , 0
[03-28 15:44], 2566          , 86            , 0
[03-28 16:14], 2566          , 86            , 0
[03-28 16:44], 2566          , 86            , 0
[03-28 17:14], 2566          , 86            , 0
[03-28 17:44], 2566          , 86            , 0
[03-28 18:14], 2566          , 86            , 0
[03-28 18:44], 2566          , 86            , 0
[03-28 19:14], 2566          , 86            , 0
[03-28 19:44], 2566          , 86            , 0
[03-28 20:14], 2566          , 86            , 0
[03-28 20:44], 2566          , 86            , 0
[03-28 21:14], 2566          , 86            , 0
[03-28 21:44], 2566          , 86            , 0
[03-28 22:14], 2566          , 86            , 0
[03-28 22:44], 2566          , 86            , 0
[03-28 23:14], 2566          , 86            , 0
[03-28 23:44], 2566          , 86            , 0
[03-29 00:14], 2566          , 86            , 0
[03-29 00:44], 2566          , 86            , 0
[03-29 01:14], 2566          , 86            , 0
[03-29 01:44], 2566          , 86            , 0
[03-29 02:14], 2566          , 86            , 0
[03-29 02:44], 2566          , 86            , 0
[03-29 03:14], 2566          , 86            , 0
[03-29 03:44], 2566          , 86            , 0
