real_map_size: 29775
loging--time, explored-paths, covered-blocks, crashes
[03-26 04:14], 280           , 1318          , 0
[03-26 04:44], 1228          , 1503          , 0
[03-26 05:14], 1650          , 1539          , 0
[03-26 05:44], 1881          , 1542          , 0
[03-26 06:14], 2093          , 1549          , 0
[03-26 06:44], 2292          , 1551          , 0
[03-26 07:14], 2486          , 1552          , 0
[03-26 07:44], 2688          , 1557          , 0
[03-26 08:14], 2868          , 1558          , 0
[03-26 08:44], 3048          , 1565          , 0
[03-26 09:14], 3253          , 1569          , 0
[03-26 09:44], 3427          , 1572          , 0
[03-26 10:14], 3633          , 1573          , 0
[03-26 10:44], 3818          , 1577          , 0
[03-26 11:14], 3985          , 1578          , 0
[03-26 11:44], 4166          , 1578          , 0
[03-26 12:14], 4355          , 1578          , 0
[03-26 12:44], 4537          , 1578          , 0
[03-26 13:14], 4714          , 1578          , 0
[03-26 13:44], 4886          , 1579          , 0
[03-26 14:14], 5034          , 1579          , 0
[03-26 14:44], 5200          , 1579          , 0
[03-26 15:14], 5391          , 1580          , 0
[03-26 15:44], 5594          , 1582          , 0
[03-26 16:14], 5805          , 1583          , 0
[03-26 16:44], 5974          , 1583          , 0
[03-26 17:14], 6152          , 1583          , 0
[03-26 17:44], 6327          , 1583          , 0
[03-26 18:14], 6480          , 1583          , 0
[03-26 18:44], 6651          , 1583          , 0
[03-26 19:14], 6819          , 1583          , 0
[03-26 19:44], 6980          , 1583          , 0
[03-26 20:14], 7138          , 1583          , 0
[03-26 20:44], 7301          , 1583          , 0
[03-26 21:14], 7478          , 1583          , 0
[03-26 21:44], 7650          , 1583          , 0
[03-26 22:14], 7824          , 1583          , 0
[03-26 22:44], 7995          , 1583          , 0
[03-26 23:14], 8158          , 1583          , 0
[03-26 23:44], 8320          , 1583          , 0
[03-27 00:14], 8489          , 1583          , 0
[03-27 00:44], 8648          , 1583          , 0
[03-27 01:14], 8813          , 1583          , 0
[03-27 01:44], 8972          , 1583          , 0
[03-27 02:14], 9136          , 1583          , 0
[03-27 02:44], 9305          , 1583          , 0
[03-27 03:14], 9468          , 1583          , 0
[03-27 03:44], 9646          , 1583          , 0
