[2025-03-30_04:33:49] Total Functions: 117621, Hited Functions: 490 [ 0.416592% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:34:50] Total Functions: 120125, Hited Functions: 8944 [ 7.445578% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:35:51] Total Functions: 120125, Hited Functions: 8944 [ 7.445578% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:36:52] Total Functions: 120125, Hited Functions: 8944 [ 7.445578% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:37:53] Total Functions: 120141, Hited Functions: 8980 [ 7.474551% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:38:54] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:39:55] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:40:56] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:41:57] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:42:58] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:43:59] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:45:00] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:46:01] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:47:02] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:48:03] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:49:04] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:50:05] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:51:06] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:52:07] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
[2025-03-30_04:53:08] Total Functions: 120151, Hited Functions: 9005 [ 7.494736% ], Hited Edges: 0, Total Edges: 362506
