real_map_size: 362927
loging--time, explored-paths, covered-blocks, crashes
[03-30 04:34], 40            , 12591         , 0
[03-30 05:04], 210           , 12995         , 0
[03-30 05:34], 210           , 12995         , 0
[03-30 06:04], 210           , 12995         , 0
[03-30 06:34], 210           , 12995         , 0
[03-30 07:04], 210           , 12995         , 0
[03-30 07:34], 210           , 12995         , 0
[03-30 08:04], 210           , 12995         , 0
[03-30 08:34], 210           , 12995         , 0
[03-30 09:04], 210           , 12995         , 0
[03-30 09:34], 210           , 12995         , 0
[03-30 10:04], 210           , 12995         , 0
[03-30 10:34], 210           , 12995         , 0
[03-30 11:04], 210           , 12995         , 0
[03-30 11:34], 210           , 12995         , 0
[03-30 12:04], 210           , 12995         , 0
[03-30 12:34], 210           , 12995         , 0
[03-30 13:04], 210           , 12995         , 0
[03-30 13:34], 210           , 12995         , 0
[03-30 14:04], 210           , 12995         , 0
[03-30 14:34], 210           , 12995         , 0
[03-30 15:04], 210           , 12995         , 0
[03-30 15:34], 210           , 12995         , 0
[03-30 16:04], 210           , 12995         , 0
[03-30 16:34], 210           , 12995         , 0
[03-30 17:04], 210           , 12995         , 0
[03-30 17:34], 210           , 12995         , 0
[03-30 18:04], 210           , 12995         , 0
[03-30 18:34], 210           , 12995         , 0
[03-30 19:04], 210           , 12995         , 0
[03-30 19:34], 210           , 12995         , 0
[03-30 20:04], 210           , 12995         , 0
[03-30 20:34], 210           , 12995         , 0
[03-30 21:04], 210           , 12995         , 0
[03-30 21:34], 210           , 12995         , 0
[03-30 22:04], 210           , 12995         , 0
[03-30 22:34], 210           , 12995         , 0
[03-30 23:04], 210           , 12995         , 0
[03-30 23:34], 210           , 12995         , 0
[03-31 00:04], 210           , 12995         , 0
[03-31 00:34], 210           , 12995         , 0
[03-31 01:04], 210           , 12995         , 0
[03-31 01:34], 210           , 12995         , 0
[03-31 02:04], 210           , 12995         , 0
[03-31 02:34], 210           , 12995         , 0
[03-31 03:04], 210           , 12995         , 0
[03-31 03:34], 210           , 12995         , 0
[03-31 04:04], 210           , 12995         , 0
