[2025-03-31_04:52:43] Total Functions: 8194, Hited Functions: 221 [ 2.697095% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:53:44] Total Functions: 8197, Hited Functions: 533 [ 6.502379% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:54:45] Total Functions: 8198, Hited Functions: 559 [ 6.818736% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:55:46] Total Functions: 8198, Hited Functions: 561 [ 6.843132% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:56:47] Total Functions: 8198, Hited Functions: 574 [ 7.001708% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:57:48] Total Functions: 8205, Hited Functions: 586 [ 7.141987% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:58:49] Total Functions: 8205, Hited Functions: 592 [ 7.215113% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_04:59:50] Total Functions: 8205, Hited Functions: 596 [ 7.263863% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:00:51] Total Functions: 8205, Hited Functions: 596 [ 7.263863% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:01:52] Total Functions: 8205, Hited Functions: 596 [ 7.263863% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:02:53] Total Functions: 8205, Hited Functions: 596 [ 7.263863% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:03:54] Total Functions: 8205, Hited Functions: 596 [ 7.263863% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:04:55] Total Functions: 8205, Hited Functions: 599 [ 7.300427% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:05:56] Total Functions: 8205, Hited Functions: 602 [ 7.336990% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:06:57] Total Functions: 8205, Hited Functions: 612 [ 7.458867% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:07:58] Total Functions: 8205, Hited Functions: 616 [ 7.507617% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:08:59] Total Functions: 8205, Hited Functions: 618 [ 7.531993% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:10:00] Total Functions: 8206, Hited Functions: 621 [ 7.567633% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:11:01] Total Functions: 8206, Hited Functions: 621 [ 7.567633% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:12:02] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:13:03] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:14:04] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:15:05] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:16:06] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:17:07] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:18:08] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:19:09] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:20:10] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:21:11] Total Functions: 8207, Hited Functions: 626 [ 7.627635% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:22:12] Total Functions: 8207, Hited Functions: 631 [ 7.688559% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:23:13] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:24:14] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:28:35] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:29:36] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:30:37] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:31:38] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:35:31] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:36:32] Total Functions: 8207, Hited Functions: 633 [ 7.712928% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:37:33] Total Functions: 8208, Hited Functions: 638 [ 7.772904% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:38:34] Total Functions: 8208, Hited Functions: 650 [ 7.919103% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:39:35] Total Functions: 8208, Hited Functions: 651 [ 7.931287% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:40:36] Total Functions: 8208, Hited Functions: 651 [ 7.931287% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:41:37] Total Functions: 8208, Hited Functions: 651 [ 7.931287% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:42:38] Total Functions: 8208, Hited Functions: 651 [ 7.931287% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:43:39] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:44:40] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:45:41] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:46:42] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:47:43] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:48:44] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:49:45] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:50:46] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:51:47] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:52:55] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:56:07] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:57:08] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:58:09] Total Functions: 8208, Hited Functions: 652 [ 7.943470% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_05:59:10] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:00:11] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:01:12] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:02:13] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:03:14] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:04:15] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:05:16] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:06:17] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:07:18] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:08:19] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:09:20] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:10:21] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:11:22] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:12:23] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:13:24] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:14:25] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:15:26] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:16:27] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:17:28] Total Functions: 8208, Hited Functions: 655 [ 7.980019% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:18:29] Total Functions: 8208, Hited Functions: 661 [ 8.053119% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:19:30] Total Functions: 8208, Hited Functions: 661 [ 8.053119% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:20:34] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:23:54] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:24:55] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:25:56] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:26:57] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:27:58] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:28:59] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:30:00] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:31:01] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:32:02] Total Functions: 8208, Hited Functions: 662 [ 8.065302% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:33:03] Total Functions: 8208, Hited Functions: 666 [ 8.114035% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:36:18] Total Functions: 8208, Hited Functions: 666 [ 8.114035% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:37:19] Total Functions: 8208, Hited Functions: 666 [ 8.114035% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:38:20] Total Functions: 8208, Hited Functions: 666 [ 8.114035% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:39:21] Total Functions: 8209, Hited Functions: 675 [ 8.222682% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:40:22] Total Functions: 8209, Hited Functions: 678 [ 8.259228% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:41:23] Total Functions: 8209, Hited Functions: 682 [ 8.307955% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:42:24] Total Functions: 8209, Hited Functions: 684 [ 8.332318% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:43:25] Total Functions: 8209, Hited Functions: 686 [ 8.356682% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:44:26] Total Functions: 8209, Hited Functions: 686 [ 8.356682% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:45:27] Total Functions: 8209, Hited Functions: 686 [ 8.356682% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:49:44] Total Functions: 8209, Hited Functions: 686 [ 8.356682% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:50:45] Total Functions: 8211, Hited Functions: 692 [ 8.427719% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:51:46] Total Functions: 8211, Hited Functions: 692 [ 8.427719% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:52:47] Total Functions: 8211, Hited Functions: 692 [ 8.427719% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:53:48] Total Functions: 8211, Hited Functions: 692 [ 8.427719% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:54:49] Total Functions: 8211, Hited Functions: 692 [ 8.427719% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:55:50] Total Functions: 8211, Hited Functions: 692 [ 8.427719% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:56:51] Total Functions: 8211, Hited Functions: 693 [ 8.439898% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:57:52] Total Functions: 8211, Hited Functions: 693 [ 8.439898% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:58:53] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_06:59:54] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:00:55] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:01:56] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:02:57] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:03:58] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:04:59] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:06:00] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:07:01] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:08:02] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:09:03] Total Functions: 8211, Hited Functions: 694 [ 8.452076% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:10:04] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:11:05] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:12:06] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:13:07] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:14:08] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:15:09] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:16:10] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:17:11] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:18:12] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:19:13] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:20:14] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:21:15] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:22:16] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:23:17] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:24:18] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:25:19] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:26:20] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:27:21] Total Functions: 8211, Hited Functions: 729 [ 8.878334% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:28:22] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:29:23] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:30:24] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:31:25] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:32:26] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:33:27] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:34:28] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:35:29] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:36:30] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:37:31] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:38:32] Total Functions: 8211, Hited Functions: 732 [ 8.914870% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:39:33] Total Functions: 8211, Hited Functions: 733 [ 8.927049% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:40:34] Total Functions: 8211, Hited Functions: 733 [ 8.927049% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:41:35] Total Functions: 8211, Hited Functions: 733 [ 8.927049% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:42:36] Total Functions: 8211, Hited Functions: 733 [ 8.927049% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:43:37] Total Functions: 8211, Hited Functions: 734 [ 8.939228% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:44:38] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:45:39] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:46:40] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:47:41] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:48:42] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:49:43] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:50:44] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:51:45] Total Functions: 8215, Hited Functions: 745 [ 9.068777% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:52:46] Total Functions: 8216, Hited Functions: 750 [ 9.128530% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:53:47] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:54:48] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:55:49] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:56:50] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:57:51] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:58:52] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_07:59:53] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:00:54] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:01:55] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:02:56] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:03:57] Total Functions: 8216, Hited Functions: 751 [ 9.140701% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:04:58] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:05:59] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:07:00] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:08:01] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:09:02] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:10:03] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:11:04] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:12:05] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:13:06] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:14:07] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:15:08] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:16:09] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:17:10] Total Functions: 8216, Hited Functions: 752 [ 9.152872% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:18:11] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:19:12] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:20:13] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:21:14] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:22:15] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:23:16] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
[2025-03-31_08:24:17] Total Functions: 8216, Hited Functions: 753 [ 9.165044% ], Hited Edges: 0, Total Edges: 16416
