real_map_size: 243410
loging--time, explored-paths, covered-blocks, crashes
[03-31 04:53], 118           , 3311          , 0
[03-31 05:23], 2362          , 5642          , 0
[03-31 05:53], 3287          , 6278          , 0
[03-31 06:23], 3895          , 6828          , 0
[03-31 06:53], 4561          , 7557          , 0
[03-31 07:23], 5076          , 7905          , 0
[03-31 07:53], 5630          , 8409          , 0
[03-31 08:23], 5955          , 8618          , 0
[03-31 08:53], 6749          , 9374          , 0
[03-31 09:23], 7221          , 9705          , 0
[03-31 09:53], 7746          , 10206         , 0
[03-31 10:23], 8069          , 10372         , 0
[03-31 10:53], 8446          , 10535         , 0
[03-31 11:23], 8826          , 10620         , 0
[03-31 11:53], 9223          , 10776         , 0
[03-31 12:23], 9469          , 10847         , 0
[03-31 12:53], 9703          , 10863         , 0
[03-31 13:23], 9892          , 10877         , 0
[03-31 13:53], 10016         , 10891         , 0
[03-31 14:23], 10136         , 10907         , 0
[03-31 14:53], 10251         , 10951         , 0
[03-31 15:23], 10320         , 10958         , 0
[03-31 15:53], 10362         , 10959         , 0
[03-31 16:23], 10444         , 10985         , 0
[03-31 16:53], 10503         , 10988         , 0
[03-31 17:23], 10559         , 10988         , 0
[03-31 17:53], 10722         , 11521         , 0
[03-31 18:23], 10967         , 11634         , 0
[03-31 18:53], 11158         , 11657         , 0
[03-31 19:23], 11299         , 11690         , 0
[03-31 19:53], 11366         , 11710         , 0
[03-31 20:23], 11436         , 11716         , 0
[03-31 20:53], 11506         , 11723         , 0
[03-31 21:23], 11618         , 11725         , 0
[03-31 21:53], 11691         , 11769         , 0
[03-31 22:23], 11844         , 11870         , 0
[03-31 22:53], 11871         , 11872         , 0
[03-31 23:23], 11954         , 11887         , 0
[03-31 23:53], 12008         , 11901         , 0
[04-01 00:23], 12060         , 11903         , 0
[04-01 00:53], 12099         , 11904         , 0
[04-01 01:23], 12122         , 11905         , 0
[04-01 01:53], 13114         , 14976         , 0
[04-01 02:23], 14734         , 17673         , 0
[04-01 02:53], 15630         , 17876         , 0
[04-01 03:23], 16649         , 18147         , 0
[04-01 03:53], 17531         , 18286         , 0
[04-01 04:23], 18090         , 18471         , 0
