[2025-03-26_04:29:51] Total Functions: 793, Hited Functions: 274 [ 34.552333% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:30:52] Total Functions: 1024, Hited Functions: 552 [ 53.906250% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:31:53] Total Functions: 1027, Hited Functions: 555 [ 54.040896% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:32:54] Total Functions: 1027, Hited Functions: 555 [ 54.040896% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:33:55] Total Functions: 1029, Hited Functions: 557 [ 54.130224% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:34:56] Total Functions: 1031, Hited Functions: 559 [ 54.219205% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:35:57] Total Functions: 1044, Hited Functions: 573 [ 54.885057% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:36:58] Total Functions: 1063, Hited Functions: 592 [ 55.691439% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:37:59] Total Functions: 1089, Hited Functions: 618 [ 56.749311% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:39:00] Total Functions: 1091, Hited Functions: 620 [ 56.828598% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:40:01] Total Functions: 1106, Hited Functions: 635 [ 57.414105% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:41:02] Total Functions: 1112, Hited Functions: 641 [ 57.643885% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:42:03] Total Functions: 1115, Hited Functions: 644 [ 57.757848% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:43:04] Total Functions: 1117, Hited Functions: 646 [ 57.833483% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:44:05] Total Functions: 1142, Hited Functions: 673 [ 58.931699% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:45:06] Total Functions: 1144, Hited Functions: 675 [ 59.003497% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:46:07] Total Functions: 1147, Hited Functions: 678 [ 59.110724% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:47:08] Total Functions: 1150, Hited Functions: 681 [ 59.217391% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:48:09] Total Functions: 1153, Hited Functions: 684 [ 59.323504% ], Hited Edges: 0, Total Edges: 2056
[2025-03-26_04:49:10] Total Functions: 1156, Hited Functions: 687 [ 59.429066% ], Hited Edges: 0, Total Edges: 2056
