real_map_size: 81502
loging--time, explored-paths, covered-blocks, crashes
[03-26 04:30], 31            , 2571          , 0
[03-26 05:00], 866           , 3712          , 0
[03-26 05:30], 1218          , 3805          , 0
[03-26 06:00], 1415          , 3855          , 0
[03-26 06:30], 1844          , 4269          , 0
[03-26 07:00], 2139          , 4364          , 0
[03-26 07:30], 2226          , 4364          , 0
[03-26 08:00], 2323          , 4390          , 0
[03-26 08:30], 2435          , 4404          , 0
[03-26 09:00], 2533          , 4404          , 0
[03-26 09:30], 2625          , 4409          , 0
[03-26 10:00], 2741          , 4484          , 0
[03-26 10:30], 2815          , 4518          , 0
[03-26 11:00], 2912          , 4523          , 0
[03-26 11:30], 3023          , 4532          , 0
[03-26 12:00], 3091          , 4544          , 0
[03-26 12:30], 3162          , 4576          , 0
[03-26 13:00], 3210          , 4603          , 0
[03-26 13:30], 3267          , 4603          , 0
[03-26 14:00], 3330          , 4603          , 0
[03-26 14:30], 3443          , 4721          , 0
[03-26 15:00], 3524          , 4723          , 0
[03-26 15:30], 3582          , 4744          , 0
[03-26 16:00], 3655          , 4759          , 0
[03-26 16:30], 3709          , 4759          , 0
[03-26 17:00], 3773          , 4765          , 0
[03-26 17:30], 3821          , 4768          , 0
[03-26 18:00], 3878          , 4772          , 0
[03-26 18:30], 3942          , 4772          , 0
[03-26 19:00], 3998          , 4772          , 0
[03-26 19:30], 4049          , 4777          , 0
[03-26 20:00], 4098          , 4779          , 0
[03-26 20:30], 4140          , 4779          , 0
[03-26 21:00], 4187          , 4779          , 0
[03-26 21:30], 4271          , 4812          , 0
[03-26 22:00], 4327          , 4819          , 0
[03-26 22:30], 4384          , 4850          , 0
[03-26 23:00], 4462          , 4894          , 0
[03-26 23:30], 4511          , 4896          , 0
[03-27 00:00], 4574          , 4902          , 0
[03-27 00:30], 4642          , 4903          , 0
[03-27 01:00], 4707          , 4903          , 0
[03-27 01:30], 4759          , 4903          , 0
[03-27 02:00], 4812          , 4903          , 0
[03-27 02:30], 4863          , 4903          , 0
[03-27 03:00], 4917          , 4903          , 0
[03-27 03:30], 4953          , 4918          , 0
[03-27 04:00], 4999          , 4918          , 0
