real_map_size: 13621
loging--time, explored-paths, covered-blocks, crashes
[03-31 04:38], 10            , 292           , 0
[03-31 05:08], 10            , 292           , 0
[03-31 05:38], 10            , 292           , 0
[03-31 06:08], 10            , 292           , 0
[03-31 06:38], 10            , 292           , 0
[03-31 07:08], 10            , 292           , 0
[03-31 07:38], 10            , 292           , 0
[03-31 08:08], 10            , 292           , 0
[03-31 08:38], 10            , 292           , 0
[03-31 09:08], 10            , 292           , 0
[03-31 09:38], 10            , 292           , 0
[03-31 10:08], 10            , 292           , 0
[03-31 10:38], 10            , 292           , 0
[03-31 11:08], 10            , 292           , 0
[03-31 11:38], 10            , 292           , 0
[03-31 12:08], 10            , 292           , 0
[03-31 12:38], 10            , 292           , 0
[03-31 13:08], 10            , 292           , 0
[03-31 13:38], 10            , 292           , 0
[03-31 14:08], 10            , 292           , 0
[03-31 14:38], 10            , 292           , 0
[03-31 15:08], 10            , 292           , 0
[03-31 15:38], 10            , 292           , 0
[03-31 16:08], 10            , 292           , 0
[03-31 16:38], 10            , 292           , 0
[03-31 17:08], 10            , 292           , 0
[03-31 17:38], 10            , 292           , 0
[03-31 18:08], 10            , 292           , 0
[03-31 18:38], 10            , 292           , 0
[03-31 19:08], 10            , 292           , 0
[03-31 19:38], 10            , 292           , 0
[03-31 20:08], 10            , 292           , 0
[03-31 20:38], 10            , 292           , 0
[03-31 21:08], 10            , 292           , 0
[03-31 21:38], 10            , 292           , 0
[03-31 22:08], 10            , 292           , 0
[03-31 22:38], 10            , 292           , 0
[03-31 23:08], 10            , 292           , 0
[03-31 23:38], 10            , 292           , 0
[04-01 00:08], 10            , 292           , 0
[04-01 00:38], 10            , 292           , 0
[04-01 01:08], 10            , 292           , 0
[04-01 01:38], 10            , 292           , 0
[04-01 02:08], 10            , 292           , 0
[04-01 02:38], 10            , 292           , 0
[04-01 03:08], 10            , 292           , 0
[04-01 03:38], 10            , 292           , 0
[04-01 04:08], 10            , 292           , 0
