[2025-03-25_04:29:11] Total Functions: 462, Hited Functions: 44 [ 9.523810% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:30:12] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:31:13] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:32:14] Total Functions: 462, Hited Functions: 77 [ 16.666667% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:33:15] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:34:16] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:35:17] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:36:18] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:37:19] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:38:20] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:39:21] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:40:22] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:41:23] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:42:24] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:43:25] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:44:26] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:45:27] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:46:28] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:47:29] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:48:30] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:49:31] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:50:32] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:51:33] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:52:34] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:53:35] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:54:36] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:55:37] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:56:38] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:57:39] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:58:40] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_04:59:41] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:00:42] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:01:43] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:02:44] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:03:45] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:04:46] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:05:47] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:06:48] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:07:49] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:08:50] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:09:51] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:10:52] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:11:53] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:12:54] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:13:55] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:14:56] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:15:57] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:16:58] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:17:59] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:19:00] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:20:01] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:21:02] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:22:03] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:23:04] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:24:05] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:25:06] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:26:07] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:27:08] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:28:09] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:29:10] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:30:11] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:31:12] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:32:13] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:33:14] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:34:15] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:35:16] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:36:17] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:37:18] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:38:19] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:39:20] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:40:21] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:41:22] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:42:23] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:43:24] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:44:25] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:45:26] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:46:27] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:47:28] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:48:29] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:49:30] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:50:31] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:51:32] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:52:33] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:53:34] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:54:35] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:55:36] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:56:37] Total Functions: 462, Hited Functions: 78 [ 16.883117% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:57:38] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:58:39] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_05:59:40] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_06:00:41] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_06:01:42] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_06:02:43] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_06:03:44] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_06:04:45] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
[2025-03-25_06:05:46] Total Functions: 462, Hited Functions: 82 [ 17.748918% ], Hited Edges: 0, Total Edges: 1156
