real_map_size: 7027
loging--time, explored-paths, covered-blocks, crashes
[03-25 04:29], 65            , 353           , 0
[03-25 04:59], 302           , 453           , 0
[03-25 05:29], 340           , 454           , 0
[03-25 05:59], 389           , 480           , 0
[03-25 06:29], 430           , 480           , 0
[03-25 06:59], 455           , 480           , 0
[03-25 07:29], 480           , 480           , 0
[03-25 07:59], 500           , 480           , 0
[03-25 08:29], 520           , 480           , 0
[03-25 08:59], 542           , 480           , 0
[03-25 09:29], 568           , 480           , 0
[03-25 09:59], 579           , 480           , 0
[03-25 10:29], 604           , 480           , 0
[03-25 10:59], 619           , 480           , 0
[03-25 11:29], 641           , 481           , 0
[03-25 11:59], 658           , 484           , 0
[03-25 12:29], 678           , 489           , 0
[03-25 12:59], 698           , 490           , 0
[03-25 13:29], 720           , 490           , 0
[03-25 13:59], 755           , 501           , 0
[03-25 14:29], 771           , 502           , 0
[03-25 14:59], 789           , 502           , 0
[03-25 15:29], 806           , 502           , 0
[03-25 15:59], 825           , 502           , 0
[03-25 16:29], 843           , 502           , 0
[03-25 16:59], 866           , 502           , 0
[03-25 17:29], 881           , 502           , 0
[03-25 17:59], 894           , 502           , 0
[03-25 18:29], 907           , 502           , 0
[03-25 18:59], 920           , 502           , 0
[03-25 19:29], 930           , 502           , 0
[03-25 19:59], 943           , 502           , 0
[03-25 20:29], 960           , 502           , 0
[03-25 20:59], 977           , 502           , 0
[03-25 21:29], 1003          , 502           , 0
[03-25 21:59], 1018          , 502           , 0
[03-25 22:29], 1037          , 502           , 0
[03-25 22:59], 1055          , 502           , 0
[03-25 23:29], 1065          , 502           , 0
[03-25 23:59], 1077          , 502           , 0
[03-26 00:29], 1098          , 502           , 0
[03-26 00:59], 1109          , 502           , 0
[03-26 01:29], 1122          , 502           , 0
[03-26 01:59], 1137          , 502           , 0
[03-26 02:29], 1148          , 502           , 0
[03-26 02:59], 1165          , 502           , 0
[03-26 03:29], 1184          , 502           , 0
[03-26 03:59], 1200          , 502           , 0
