[2025-03-26_04:29:44] Total Functions: 2324, Hited Functions: 161 [ 6.927711% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:30:45] Total Functions: 2325, Hited Functions: 325 [ 13.978495% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:31:46] Total Functions: 2325, Hited Functions: 335 [ 14.408602% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:32:47] Total Functions: 2325, Hited Functions: 341 [ 14.666667% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:33:48] Total Functions: 2325, Hited Functions: 341 [ 14.666667% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:34:49] Total Functions: 2325, Hited Functions: 342 [ 14.709677% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:35:50] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:36:51] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:37:52] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:38:53] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:39:54] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:40:55] Total Functions: 2325, Hited Functions: 344 [ 14.795699% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:41:56] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:42:57] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:43:58] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:44:59] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:46:00] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:47:01] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:48:02] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:49:03] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:50:04] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:51:05] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
[2025-03-26_04:52:06] Total Functions: 2325, Hited Functions: 345 [ 14.838710% ], Hited Edges: 0, Total Edges: 14796
