real_map_size: 48696
loging--time, explored-paths, covered-blocks, crashes
[03-26 04:30], 1099          , 2877          , 0
[03-26 05:00], 4427          , 4091          , 0
[03-26 05:30], 5552          , 4187          , 0
[03-26 06:00], 6218          , 4342          , 0
[03-26 06:30], 6772          , 4413          , 0
[03-26 07:00], 7291          , 4442          , 0
[03-26 07:30], 7600          , 4451          , 0
[03-26 08:00], 7871          , 4480          , 0
[03-26 08:30], 8110          , 4484          , 0
[03-26 09:00], 8301          , 4493          , 0
[03-26 09:30], 8479          , 4504          , 0
[03-26 10:00], 8652          , 4512          , 0
[03-26 10:30], 8820          , 4515          , 0
[03-26 11:00], 8976          , 4521          , 0
[03-26 11:30], 9203          , 4589          , 0
[03-26 12:00], 9431          , 4671          , 0
[03-26 12:30], 9562          , 4692          , 0
[03-26 13:00], 9692          , 4697          , 0
[03-26 13:30], 9797          , 4711          , 0
[03-26 14:00], 9873          , 4712          , 0
[03-26 14:30], 9981          , 4715          , 0
[03-26 15:00], 10055         , 4717          , 0
[03-26 15:30], 10154         , 4717          , 0
[03-26 16:00], 10237         , 4717          , 0
[03-26 16:30], 10322         , 4719          , 0
[03-26 17:00], 10396         , 4719          , 0
[03-26 17:30], 10488         , 4723          , 0
[03-26 18:00], 10570         , 4724          , 0
[03-26 18:30], 10650         , 4724          , 0
[03-26 19:00], 10724         , 4724          , 0
[03-26 19:30], 10790         , 4726          , 0
[03-26 20:00], 10865         , 4729          , 0
[03-26 20:30], 10963         , 4730          , 0
[03-26 21:00], 11048         , 4734          , 0
[03-26 21:30], 11117         , 4740          , 0
[03-26 22:00], 11191         , 4742          , 0
[03-26 22:30], 11258         , 4744          , 0
[03-26 23:00], 11350         , 4747          , 0
[03-26 23:30], 11424         , 4748          , 0
[03-27 00:00], 11509         , 4751          , 0
[03-27 00:30], 11584         , 4751          , 0
[03-27 01:00], 11662         , 4756          , 0
[03-27 01:30], 11755         , 4756          , 0
[03-27 02:00], 11843         , 4757          , 0
[03-27 02:30], 11937         , 4759          , 0
[03-27 03:00], 12037         , 4760          , 0
[03-27 03:30], 12143         , 4761          , 0
[03-27 04:00], 12236         , 4761          , 0
