real_map_size: 676
loging--time, explored-paths, covered-blocks, crashes
[03-27 04:30], 132           , 151           , 0
[03-27 05:00], 478           , 219           , 0
[03-27 05:30], 632           , 226           , 0
[03-27 06:00], 784           , 231           , 0
[03-27 06:30], 916           , 231           , 0
[03-27 07:00], 1068          , 231           , 0
[03-27 07:30], 1190          , 231           , 0
[03-27 08:00], 1350          , 231           , 0
[03-27 08:30], 1458          , 231           , 0
[03-27 09:00], 1561          , 231           , 0
[03-27 09:30], 1661          , 231           , 0
[03-27 10:00], 1752          , 231           , 0
[03-27 10:30], 1833          , 231           , 0
[03-27 11:00], 1921          , 231           , 0
[03-27 11:30], 2019          , 231           , 0
[03-27 12:00], 2119          , 231           , 0
[03-27 12:30], 2206          , 231           , 0
[03-27 13:00], 2286          , 231           , 0
[03-27 13:30], 2373          , 231           , 0
[03-27 14:00], 2481          , 231           , 0
[03-27 14:30], 2571          , 231           , 0
[03-27 15:00], 2656          , 231           , 0
[03-27 15:30], 2745          , 231           , 0
[03-27 16:00], 2832          , 231           , 0
[03-27 16:30], 2926          , 231           , 0
[03-27 17:00], 3017          , 231           , 0
[03-27 17:30], 3113          , 231           , 0
[03-27 18:00], 3216          , 231           , 0
[03-27 18:30], 3299          , 231           , 0
[03-27 19:00], 3396          , 231           , 0
[03-27 19:30], 3503          , 231           , 0
[03-27 20:00], 3590          , 231           , 0
[03-27 20:30], 3677          , 231           , 0
[03-27 21:00], 3748          , 231           , 0
[03-27 21:30], 3840          , 231           , 0
[03-27 22:00], 3935          , 231           , 0
[03-27 22:30], 4027          , 231           , 0
[03-27 23:00], 4125          , 231           , 0
[03-27 23:30], 4217          , 232           , 0
[03-28 00:00], 4303          , 232           , 0
[03-28 00:30], 4401          , 232           , 0
[03-28 01:00], 4483          , 232           , 0
[03-28 01:30], 4563          , 232           , 0
[03-28 02:00], 4670          , 232           , 0
[03-28 02:30], 4760          , 232           , 0
[03-28 03:00], 4849          , 232           , 0
[03-28 03:30], 4947          , 232           , 0
[03-28 04:00], 5038          , 232           , 0
