real_map_size: 1612
loging--time, explored-paths, covered-blocks, crashes
[03-25 04:30], 73            , 270           , 0
[03-25 05:00], 291           , 313           , 0
[03-25 05:30], 349           , 314           , 0
[03-25 06:00], 398           , 315           , 0
[03-25 06:30], 447           , 315           , 0
[03-25 07:00], 500           , 315           , 0
[03-25 07:30], 545           , 316           , 0
[03-25 08:00], 589           , 317           , 0
[03-25 08:30], 629           , 317           , 0
[03-25 09:00], 669           , 317           , 0
[03-25 09:30], 711           , 317           , 0
[03-25 10:00], 767           , 325           , 0
[03-25 10:30], 808           , 325           , 0
[03-25 11:00], 853           , 325           , 0
[03-25 11:30], 892           , 325           , 0
[03-25 12:00], 941           , 325           , 0
[03-25 12:30], 990           , 325           , 0
[03-25 13:00], 1037          , 325           , 0
[03-25 13:30], 1075          , 325           , 0
[03-25 14:00], 1118          , 325           , 0
[03-25 14:30], 1159          , 325           , 0
[03-25 15:00], 1201          , 325           , 0
[03-25 15:30], 1243          , 325           , 0
[03-25 16:00], 1280          , 325           , 0
[03-25 16:30], 1320          , 325           , 0
[03-25 17:00], 1368          , 325           , 0
[03-25 17:30], 1405          , 325           , 0
[03-25 18:00], 1447          , 325           , 0
[03-25 18:30], 1491          , 325           , 0
[03-25 19:00], 1532          , 325           , 0
[03-25 19:30], 1571          , 325           , 0
[03-25 20:00], 1605          , 325           , 0
[03-25 20:30], 1633          , 325           , 0
[03-25 21:00], 1680          , 325           , 0
[03-25 21:30], 1731          , 325           , 0
[03-25 22:00], 1769          , 325           , 0
[03-25 22:30], 1806          , 325           , 0
[03-25 23:00], 1840          , 325           , 0
[03-25 23:30], 1883          , 325           , 0
[03-26 00:00], 1926          , 325           , 0
[03-26 00:30], 1963          , 325           , 0
[03-26 01:00], 2003          , 325           , 0
[03-26 01:30], 2042          , 325           , 0
[03-26 02:00], 2081          , 325           , 0
[03-26 02:30], 2121          , 325           , 0
[03-26 03:00], 2157          , 325           , 0
[03-26 03:30], 2198          , 325           , 0
[03-26 04:00], 2247          , 325           , 0
