real_map_size: 17572
loging--time, explored-paths, covered-blocks, crashes
[04-01 04:56], 13            , 385           , 0
[04-01 05:26], 13            , 385           , 0
[04-01 05:56], 13            , 385           , 0
[04-01 06:26], 13            , 385           , 0
[04-01 06:56], 13            , 385           , 0
[04-01 07:26], 13            , 385           , 0
[04-01 07:56], 13            , 385           , 0
[04-01 08:26], 13            , 385           , 0
[04-01 08:56], 13            , 385           , 0
[04-01 09:26], 13            , 385           , 0
[04-01 09:56], 13            , 385           , 0
[04-01 10:26], 13            , 385           , 0
[04-01 10:56], 13            , 385           , 0
[04-01 11:26], 13            , 385           , 0
[04-01 11:56], 13            , 385           , 0
[04-01 12:26], 13            , 385           , 0
[04-01 12:56], 13            , 385           , 0
[04-01 13:26], 13            , 385           , 0
[04-01 13:56], 13            , 385           , 0
[04-01 14:26], 13            , 385           , 0
[04-01 14:56], 13            , 385           , 0
[04-01 15:26], 13            , 385           , 0
[04-01 15:56], 13            , 385           , 0
[04-01 16:26], 13            , 385           , 0
[04-01 16:56], 13            , 385           , 0
[04-01 17:26], 13            , 385           , 0
[04-01 17:56], 13            , 385           , 0
[04-01 18:26], 13            , 385           , 0
[04-01 18:56], 13            , 385           , 0
[04-01 19:26], 13            , 385           , 0
[04-01 19:56], 13            , 385           , 0
[04-01 20:26], 13            , 385           , 0
[04-01 20:56], 13            , 385           , 0
[04-01 21:26], 13            , 385           , 0
[04-01 21:56], 13            , 385           , 0
[04-01 22:26], 13            , 385           , 0
[04-01 22:56], 13            , 385           , 0
[04-01 23:26], 13            , 385           , 0
[04-01 23:56], 13            , 385           , 0
[04-02 00:26], 13            , 385           , 0
[04-02 00:56], 13            , 385           , 0
[04-02 01:26], 13            , 385           , 0
[04-02 01:56], 13            , 385           , 0
[04-02 02:26], 13            , 385           , 0
[04-02 02:56], 13            , 385           , 0
[04-02 03:26], 13            , 385           , 0
[04-02 03:56], 13            , 385           , 0
[04-02 04:26], 13            , 385           , 0
