[2025-03-28_04:30:14] Total Functions: 1953, Hited Functions: 69 [ 3.533026% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:31:15] Total Functions: 1955, Hited Functions: 155 [ 7.928389% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:32:16] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:33:17] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:34:18] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:35:19] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:36:20] Total Functions: 1955, Hited Functions: 157 [ 8.030691% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:37:21] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:38:22] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:39:23] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:40:24] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:41:25] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:42:26] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:43:27] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:44:28] Total Functions: 1955, Hited Functions: 159 [ 8.132992% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:45:29] Total Functions: 1955, Hited Functions: 174 [ 8.900256% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:46:30] Total Functions: 1955, Hited Functions: 174 [ 8.900256% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:47:31] Total Functions: 1955, Hited Functions: 175 [ 8.951407% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:48:32] Total Functions: 1955, Hited Functions: 180 [ 9.207161% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:49:33] Total Functions: 1957, Hited Functions: 191 [ 9.759836% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:50:34] Total Functions: 1957, Hited Functions: 196 [ 10.015330% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:51:35] Total Functions: 1957, Hited Functions: 196 [ 10.015330% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:52:36] Total Functions: 1957, Hited Functions: 197 [ 10.066428% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:53:37] Total Functions: 1957, Hited Functions: 197 [ 10.066428% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:54:38] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:55:39] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:56:40] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:57:41] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:58:42] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_04:59:43] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_05:00:44] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_05:01:45] Total Functions: 1957, Hited Functions: 198 [ 10.117527% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_05:02:46] Total Functions: 1957, Hited Functions: 199 [ 10.168625% ], Hited Edges: 0, Total Edges: 3666
[2025-03-28_05:03:47] Total Functions: 1957, Hited Functions: 201 [ 10.270823% ], Hited Edges: 0, Total Edges: 3666
