real_map_size: 14161
loging--time, explored-paths, covered-blocks, crashes
[03-28 04:30], 172           , 2114          , 6
[03-28 05:00], 1524          , 4105          , 527
[03-28 05:30], 2167          , 4652          , 1423
[03-28 06:00], 2528          , 4992          , 1919
[03-28 06:30], 2867          , 5161          , 2556
[03-28 07:00], 3228          , 5482          , 2770
[03-28 07:30], 3486          , 5589          , 3133
[03-28 08:00], 3716          , 5660          , 3671
[03-28 08:30], 3860          , 5683          , 3864
[03-28 09:00], 3976          , 5693          , 4090
[03-28 09:30], 4052          , 5704          , 4315
[03-28 10:00], 4137          , 5732          , 4469
[03-28 10:30], 4217          , 5743          , 4710
[03-28 11:00], 4334          , 5804          , 4849
[03-28 11:30], 4407          , 5813          , 5148
[03-28 12:00], 4465          , 5828          , 5291
[03-28 12:30], 4544          , 5836          , 5464
[03-28 13:00], 4593          , 5839          , 5654
[03-28 13:30], 4651          , 5854          , 5807
[03-28 14:00], 4716          , 5868          , 5968
[03-28 14:30], 4785          , 5878          , 6353
[03-28 15:00], 4826          , 5882          , 6589
[03-28 15:30], 4891          , 5885          , 6876
[03-28 16:00], 4922          , 5887          , 7012
[03-28 16:30], 4956          , 5891          , 7209
[03-28 17:00], 5017          , 5897          , 7485
[03-28 17:30], 5044          , 5898          , 7630
[03-28 18:00], 5081          , 5900          , 7813
[03-28 18:30], 5128          , 5903          , 7991
[03-28 19:00], 5266          , 5961          , 8218
[03-28 19:30], 5447          , 5980          , 8397
[03-28 20:00], 5517          , 5982          , 8536
[03-28 20:30], 5689          , 6042          , 9072
[03-28 21:00], 5776          , 6056          , 9255
[03-28 21:30], 5926          , 6063          , 9496
[03-28 22:00], 5992          , 6068          , 9767
[03-28 22:30], 6098          , 6081          , 10019
[03-28 23:00], 6142          , 6083          , 10150
[03-28 23:30], 6237          , 6085          , 10397
[03-29 00:00], 6268          , 6085          , 10678
[03-29 00:30], 6337          , 6087          , 10930
[03-29 01:00], 6370          , 6091          , 11099
[03-29 01:30], 6414          , 6097          , 11287
[03-29 02:00], 6461          , 6098          , 11501
[03-29 02:30], 6673          , 6102          , 11667
[03-29 03:00], 6730          , 6102          , 11857
[03-29 03:30], 6817          , 6102          , 12084
[03-29 04:00], 6912          , 6103          , 12259
