[2025-03-27_04:29:58] Total Functions: 2150, Hited Functions: 175 [ 8.139535% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:30:59] Total Functions: 2157, Hited Functions: 374 [ 17.338897% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:32:00] Total Functions: 2158, Hited Functions: 377 [ 17.469880% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:33:01] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:34:02] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:35:03] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:36:04] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:37:05] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:38:06] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:39:07] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:40:08] Total Functions: 2158, Hited Functions: 379 [ 17.562558% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:41:09] Total Functions: 2158, Hited Functions: 380 [ 17.608897% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:42:10] Total Functions: 2158, Hited Functions: 380 [ 17.608897% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:43:11] Total Functions: 2158, Hited Functions: 380 [ 17.608897% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:44:12] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:45:13] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:46:14] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:47:15] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:48:16] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:49:17] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:50:18] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:51:19] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:52:20] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:53:21] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:54:22] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:55:23] Total Functions: 2159, Hited Functions: 381 [ 17.647059% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:56:24] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:57:25] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:58:26] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_04:59:27] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:00:28] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:01:29] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:02:30] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:03:31] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:04:32] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:05:33] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
[2025-03-27_05:06:34] Total Functions: 2159, Hited Functions: 382 [ 17.693377% ], Hited Edges: 0, Total Edges: 5582
