real_map_size: 15695
loging--time, explored-paths, covered-blocks, crashes
[03-27 04:30], 113           , 1893          , 16
[03-27 05:00], 1209          , 2239          , 538
[03-27 05:30], 1381          , 2256          , 741
[03-27 06:00], 1516          , 2273          , 1246
[03-27 06:30], 1655          , 2286          , 1910
[03-27 07:00], 1781          , 2286          , 2568
[03-27 07:30], 1893          , 2288          , 3244
[03-27 08:00], 2064          , 2312          , 3786
[03-27 08:30], 2170          , 2312          , 4332
[03-27 09:00], 2282          , 2312          , 4886
[03-27 09:30], 2380          , 2324          , 5371
[03-27 10:00], 2480          , 2349          , 5887
[03-27 10:30], 2588          , 2350          , 6455
[03-27 11:00], 2693          , 2352          , 7006
[03-27 11:30], 2788          , 2356          , 7558
[03-27 12:00], 2888          , 2363          , 8029
[03-27 12:30], 3029          , 2392          , 8608
[03-27 13:00], 3166          , 2393          , 9162
[03-27 13:30], 3271          , 2395          , 9624
[03-27 14:00], 3384          , 2395          , 10194
[03-27 14:30], 3484          , 2397          , 10633
[03-27 15:00], 3592          , 2397          , 11157
[03-27 15:30], 3683          , 2399          , 11587
[03-27 16:00], 3779          , 2403          , 11999
[03-27 16:30], 3881          , 2418          , 12513
[03-27 17:00], 3996          , 2422          , 13057
[03-27 17:30], 4097          , 2424          , 13601
[03-27 18:00], 4172          , 2425          , 14127
[03-27 18:30], 4247          , 2425          , 14659
[03-27 19:00], 4346          , 2430          , 15193
[03-27 19:30], 4425          , 2430          , 15706
[03-27 20:00], 4517          , 2430          , 16199
[03-27 20:30], 4590          , 2430          , 16676
[03-27 21:00], 4684          , 2432          , 17067
[03-27 21:30], 4767          , 2432          , 17544
[03-27 22:00], 4853          , 2432          , 18072
[03-27 22:30], 4927          , 2433          , 18515
[03-27 23:00], 5007          , 2433          , 18995
[03-27 23:30], 5095          , 2435          , 19385
[03-28 00:00], 5385          , 2522          , 20009
[03-28 00:30], 5967          , 2691          , 21070
[03-28 01:00], 6624          , 2746          , 21260
[03-28 01:30], 7063          , 2771          , 21373
[03-28 02:00], 7470          , 2781          , 21511
[03-28 02:30], 7772          , 2786          , 21658
[03-28 03:00], 8069          , 2817          , 21779
[03-28 03:30], 8282          , 2825          , 21931
[03-28 04:00], 8462          , 2831          , 22054
